kaisai_tsukihi,keibajo_code,race_bango,top3_hit_count,top5_hit_count,top3_predicted,top3_actual,top5_predicted,top5_actual
102,45,1,0,0,"2,10,8","1,4,12","2,10,8,3,6","1,4,12"
102,45,2,1,2,"6,1,12","1,4,9","6,1,12,13,9","1,4,9"
102,45,3,2,3,"6,12,3","3,12,11","6,12,3,11,9","3,12,11"
102,45,4,1,3,"12,2,5","2,11,6","12,2,5,11,6","2,11,6"
102,45,5,1,2,"11,2,12","3,12,7","11,2,12,7,5","3,12,7"
102,45,6,0,1,"12,2,8","3,14,7","12,2,8,10,3","3,14,7"
102,45,7,1,1,"10,11,6","4,6,8","10,11,6,12,13","4,6,8"
102,45,8,2,3,"2,10,3","2,10,11","2,10,3,11,1","2,10,11"
102,45,9,1,1,"3,4,8","4,10,12","3,4,8,11,5","4,10,12"
102,45,10,1,2,"7,13,14","14,3,8","7,13,14,10,8","14,3,8"
102,45,11,2,2,"7,6,1","4,6,7","7,6,1,5,3","4,6,7"
102,45,12,1,2,"12,2,4","8,5,12","12,2,4,7,8","8,5,12"
102,48,1,1,2,"8,2,4","9,11,8","8,2,4,5,11","9,11,8"
102,48,2,0,1,"10,6,1","8,9,7","10,6,1,8,5","8,9,7"
102,48,3,1,2,"5,3,9","5,6,10","5,3,9,6,7","5,6,10"
102,48,4,0,1,"9,3,7","10,8,1","9,3,7,11,1","10,8,1"
102,48,5,2,2,"4,10,7","4,10,1","4,10,7,3,2","4,10,1"
102,48,6,2,3,"10,5,2","2,4,5","10,5,2,4,11","2,4,5"
102,48,7,2,3,"1,6,10","11,1,6","1,6,10,2,11","11,1,6"
102,48,8,1,2,"10,4,2","10,9,11","10,4,2,11,7","10,9,11"
102,48,9,1,1,"7,11,4","1,11,12","7,11,4,5,10","1,11,12"
102,48,10,2,3,"3,11,1","3,11,12","3,11,1,2,12","3,11,12"
102,48,11,2,2,"4,8,11","7,4,8","4,8,11,1,6","7,4,8"
102,48,12,0,2,"1,3,6","9,4,5","1,3,6,5,4","9,4,5"
102,50,1,2,2,"8,9,1","8,11,9","8,9,1,10,5","8,11,9"
102,50,2,0,1,"8,2,4","9,12,11","8,2,4,9,10","9,12,11"
102,50,3,1,2,"1,6,9","11,1,8","1,6,9,10,11","11,1,8"
102,50,4,1,1,"11,1,3","11,6,9","11,1,3,4,10","11,6,9"
102,50,5,2,3,"11,6,2","11,7,2","11,6,2,1,7","11,7,2"
102,50,6,2,2,"2,5,3","5,2,6","2,5,3,4,8","5,2,6"
