kaisai_tsukihi,keibajo_code,race_bango,top3_hit_count,top5_hit_count,top3_predicted,top3_actual,top5_predicted,top5_actual
102,50,7,0,1,"11,4,2","8,7,12","11,4,2,8,3","8,7,12"
102,50,8,2,2,"10,3,11","11,3,2","10,3,11,9,6","11,3,2"
102,50,9,2,2,"9,1,5","5,10,9","9,1,5,12,8","5,10,9"
102,50,10,1,1,"9,12,2","12,1,5","9,12,2,10,3","12,1,5"
102,50,11,1,1,"10,7,3","11,10,12","10,7,3,9,5","11,10,12"
102,50,12,1,2,"6,7,2","5,6,3","6,7,2,5,12","5,6,3"
103,45,1,2,2,"4,8,3","4,3,1","4,8,3,5,6","4,3,1"
103,45,2,1,2,"9,8,2","2,1,6","9,8,2,7,1","2,1,6"
103,45,3,2,2,"1,7,4","1,5,7","1,7,4,11,9","1,5,7"
103,45,4,1,1,"10,7,12","13,4,12","10,7,12,11,5","13,4,12"
103,45,5,2,2,"2,5,3","1,3,2","2,5,3,6,12","1,3,2"
103,45,6,2,2,"10,9,7","7,10,2","10,9,7,8,4","7,10,2"
103,45,7,1,2,"12,1,7","2,4,1","12,1,7,2,8","2,4,1"
103,45,8,2,3,"12,11,5","12,11,7","12,11,5,3,7","12,11,7"
103,45,9,2,2,"4,5,13","4,5,12","4,5,13,9,8","4,5,12"
103,45,10,1,1,"14,7,6","7,4,9","14,7,6,11,1","7,4,9"
103,45,11,1,3,"4,11,2","2,3,10","4,11,2,10,3","2,3,10"
103,45,12,2,3,"9,3,5","9,2,3","9,3,5,1,2","9,2,3"
103,48,1,2,2,"11,6,4","6,11,10","11,6,4,3,5","6,11,10"
103,48,2,1,2,"1,5,7","8,1,4","1,5,7,8,9","8,1,4"
103,48,3,2,2,"1,8,3","1,3,2","1,8,3,6,4","1,3,2"
103,48,4,1,1,"1,8,2","8,7,10","1,8,2,5,11","8,7,10"
103,48,5,2,3,"7,2,1","7,1,3","7,2,1,3,10","7,1,3"
103,48,6,1,2,"6,5,11","6,7,2","6,5,11,2,8","6,7,2"
103,48,7,0,1,"2,11,9","5,8,10","2,11,9,6,8","5,8,10"
103,48,8,2,2,"1,6,2","1,6,10","1,6,2,5,7","1,6,10"
103,48,9,2,3,"11,1,7","4,7,1","11,1,7,2,4","4,7,1"
103,48,10,1,1,"11,1,9","4,9,8","11,1,9,2,3","4,9,8"
103,48,11,2,3,"12,8,5","8,12,10","12,8,5,2,10","8,12,10"
103,48,12,1,2,"10,1,3","10,9,8","10,1,3,9,7","10,9,8"
103,50,1,1,1,"3,12,9","3,5,1","3,12,9,4,6","3,5,1"
103,50,2,3,3,"10,1,2","1,2,10","10,1,2,8,7","1,2,10"
103,50,3,1,1,"3,7,5","5,8,9","3,7,5,1,11","5,8,9"
103,50,4,1,2,"11,5,12","11,9,6","11,5,12,1,9","11,9,6"
103,50,5,0,0,"8,12,4","7,5,2","8,12,4,11,1","7,5,2"
103,50,6,2,3,"11,7,2","12,2,7","11,7,2,12,4","12,2,7"
103,50,7,2,2,"11,6,7","7,6,5","11,6,7,3,10","7,6,5"
103,50,8,2,3,"12,8,7","8,12,10","12,8,7,10,5","8,12,10"
103,50,9,3,3,"11,12,4","4,12,11","11,12,4,5,8","4,12,11"
103,50,10,1,1,"7,5,3","2,12,5","7,5,3,6,10","2,12,5"
103,50,11,1,1,"6,2,8","4,5,2","6,2,8,12,9","4,5,2"
103,50,12,2,3,"3,8,7","3,8,11","3,8,7,11,5","3,8,11"
104,45,1,1,1,"11,8,1","4,9,1","11,8,1,2,7","4,9,1"
104,45,2,1,2,"1,2,3","6,3,5","1,2,3,4,5","6,3,5"
104,45,3,0,2,"2,4,7","8,1,5","2,4,7,1,8","8,1,5"
104,45,4,1,1,"7,5,9","2,1,5","7,5,9,6,11","2,1,5"
104,45,5,1,3,"6,3,4","1,5,4","6,3,4,1,5","1,5,4"
104,45,6,2,3,"2,6,1","1,2,8","2,6,1,8,7","1,2,8"
104,45,7,1,2,"3,8,9","3,5,13","3,8,9,5,7","3,5,13"
104,45,8,2,2,"9,3,10","9,3,2","9,3,10,1,14","9,3,2"
104,45,9,0,2,"5,10,8","4,3,7","5,10,8,3,7","4,3,7"
104,45,10,2,3,"11,12,7","11,1,12","11,12,7,1,2","11,1,12"
104,45,11,2,2,"1,10,4","4,1,13","1,10,4,6,5","4,1,13"
104,45,12,1,1,"11,9,8","9,10,7","11,9,8,3,4","9,10,7"
104,48,1,1,3,"5,10,9","9,6,3","5,10,9,6,3","9,6,3"
104,48,2,1,2,"10,6,5","10,1,8","10,6,5,8,7","10,1,8"
104,48,3,1,2,"9,7,6","3,4,9","9,7,6,2,4","3,4,9"
104,48,4,0,1,"1,11,8","4,5,2","1,11,8,2,10","4,5,2"
104,48,5,2,3,"12,9,3","9,6,3","12,9,3,6,11","9,6,3"
104,48,6,3,3,"10,9,12","12,9,10","10,9,12,4,5","12,9,10"
104,48,7,2,2,"7,10,8","7,10,9","7,10,8,2,6","7,10,9"
104,48,8,1,2,"5,7,6","7,4,10","5,7,6,4,3","7,4,10"
104,48,9,3,3,"7,10,1","7,10,1","7,10,1,6,11","7,10,1"
104,48,10,1,2,"4,10,7","8,9,4","4,10,7,6,8","8,9,4"
104,48,11,2,3,"3,2,7","6,7,3","3,2,7,6,11","6,7,3"
104,48,12,2,2,"5,7,9","11,9,5","5,7,9,4,2","11,9,5"
104,55,1,1,2,"3,7,1","10,2,3","3,7,1,6,10","10,2,3"
104,55,2,2,2,"1,10,7","1,7,8","1,10,7,3,5","1,7,8"
104,55,3,2,2,"5,9,4","5,3,9","5,9,4,2,1","5,3,9"
104,55,4,0,0,"3,4,5","12,6,10","3,4,5,9,1","12,6,10"
104,55,5,2,2,"1,4,8","4,5,1","1,4,8,7,10","4,5,1"
104,55,6,1,2,"1,9,10","5,11,1","1,9,10,11,3","5,11,1"
104,55,7,2,2,"3,5,2","7,3,5","3,5,2,6,8","7,3,5"
104,55,8,2,3,"7,5,6","7,2,5","7,5,6,4,2","7,2,5"
104,55,9,2,2,"9,2,6","2,9,1","9,2,6,5,4","2,9,1"
105,48,1,0,1,"1,10,8","5,3,7","1,10,8,4,7","5,3,7"
105,48,2,2,3,"9,3,2","2,9,10","9,3,2,6,10","2,9,10"
105,48,3,1,2,"2,7,11","7,3,5","2,7,11,9,5","7,3,5"
105,48,4,3,3,"2,7,10","7,10,2","2,7,10,4,3","7,10,2"
105,48,5,1,1,"8,1,11","11,10,9","8,1,11,5,7","11,10,9"
105,48,6,2,3,"8,11,5","1,5,11","8,11,5,1,9","1,5,11"
105,48,7,2,3,"5,4,11","4,5,9","5,4,11,9,7","4,5,9"
105,48,8,0,0,"2,7,1","5,4,12","2,7,1,3,9","5,4,12"
105,48,9,2,2,"3,9,5","3,10,5","3,9,5,6,1","3,10,5"
105,48,10,1,2,"10,6,1","2,10,9","10,6,1,3,2","2,10,9"
105,48,11,3,3,"4,3,5","3,5,4","4,3,5,7,1","3,5,4"
105,48,12,3,3,"2,5,1","5,1,2","2,5,1,11,4","5,1,2"
105,55,1,0,1,"7,6,3","1,10,2","7,6,3,10,4","1,10,2"
105,55,2,1,2,"5,6,10","10,8,7","5,6,10,2,7","10,8,7"
105,55,3,1,1,"7,2,10","7,1,9","7,2,10,8,5","7,1,9"
105,55,4,0,1,"10,2,8","4,3,5","10,2,8,3,1","4,3,5"
105,55,5,1,1,"2,11,1","2,3,4","2,11,1,10,8","2,3,4"
105,55,6,1,2,"1,3,4","1,7,2","1,3,4,7,5","1,7,2"
105,55,7,1,1,"6,10,7","10,11,5","6,10,7,2,12","10,11,5"
105,55,8,2,2,"5,2,3","3,5,9","5,2,3,4,7","3,5,9"
105,55,9,1,1,"3,9,10","9,1,5","3,9,10,11,4","9,1,5"
105,55,10,2,2,"6,7,1","6,2,1","6,7,1,3,8","6,2,1"
105,55,11,2,2,"11,12,1","11,10,12","11,12,1,7,2","11,10,12"
106,42,1,1,2,"2,12,6","8,9,6","2,12,6,8,10","8,9,6"
106,42,2,1,2,"9,3,5","8,4,5","9,3,5,10,4","8,4,5"
106,42,3,2,2,"2,11,3","3,6,2","2,11,3,5,12","3,6,2"
106,42,4,2,2,"10,2,9","9,2,6","10,2,9,4,3","9,2,6"
106,42,5,2,2,"5,11,1","8,5,11","5,11,1,6,2","8,5,11"
106,42,6,2,3,"8,7,5","7,2,8","8,7,5,2,6","7,2,8"
106,42,7,2,3,"1,4,5","8,4,5","1,4,5,8,7","8,4,5"
106,42,8,1,1,"6,11,13","3,5,11","6,11,13,1,7","3,5,11"
106,42,9,0,0,"7,9,3","1,8,4","7,9,3,10,11","1,8,4"
106,42,10,2,2,"1,2,8","2,12,1","1,2,8,7,6","2,12,1"
106,42,11,1,2,"8,3,12","11,12,4","8,3,12,6,11","11,12,4"
106,42,12,0,1,"8,3,10","9,4,12","8,3,10,7,9","9,4,12"
106,47,1,3,3,"4,7,3","7,4,3","4,7,3,2,5","7,4,3"
106,47,2,2,2,"7,2,6","7,1,2","7,2,6,5,8","7,1,2"
106,47,3,2,3,"3,8,6","8,5,3","3,8,6,5,7","8,5,3"
106,47,4,2,2,"6,8,3","6,3,5","6,8,3,7,2","6,3,5"
106,47,5,1,2,"3,5,1","7,3,8","3,5,1,6,8","7,3,8"
106,47,6,2,2,"3,7,4","7,3,1","3,7,4,6,5","7,3,1"
106,47,7,2,3,"1,8,2","1,6,2","1,8,2,6,3","1,6,2"
106,47,8,1,2,"4,3,1","6,2,3","4,3,1,6,5","6,2,3"
106,47,9,2,2,"3,1,4","1,7,3","3,1,4,6,5","1,7,3"
106,47,10,3,3,"6,3,2","2,6,3","6,3,2,4,5","2,6,3"
106,47,11,0,1,"8,1,7","2,6,5","8,1,7,6,4","2,6,5"
107,42,1,2,2,"2,3,5","3,4,2","2,3,5,9,10","3,4,2"
107,42,2,2,3,"7,8,12","8,7,2","7,8,12,4,2","8,7,2"
107,42,3,2,2,"3,9,1","1,3,11","3,9,1,5,4","1,3,11"
107,42,4,2,3,"7,4,10","7,9,10","7,4,10,5,9","7,9,10"
107,42,5,1,2,"11,4,5","11,12,2","11,4,5,12,7","11,12,2"
107,42,6,2,2,"5,11,8","5,8,2","5,11,8,7,1","5,8,2"
107,42,7,1,3,"4,8,1","4,7,9","4,8,1,7,9","4,7,9"
107,42,8,2,2,"4,1,6","3,4,1","4,1,6,7,9","3,4,1"
107,42,9,2,2,"6,9,11","9,11,2","6,9,11,4,3","9,11,2"
107,42,10,0,2,"9,12,4","5,10,13","9,12,4,10,13","5,10,13"
107,42,11,0,1,"6,4,3","8,2,1","6,4,3,2,11","8,2,1"
107,42,12,0,1,"8,1,4","2,10,9","8,1,4,2,12","2,10,9"
107,47,1,2,3,"6,5,3","4,6,5","6,5,3,4,2","4,6,5"
107,47,2,2,2,"6,4,3","6,4,7","6,4,3,5,1","6,4,7"
107,47,3,1,2,"6,2,5","6,1,7","6,2,5,3,7","6,1,7"
107,47,4,2,3,"4,1,6","1,2,4","4,1,6,2,3","1,2,4"
107,47,5,1,2,"5,7,6","1,5,4","5,7,6,3,4","1,5,4"
107,47,6,1,2,"1,4,8","1,2,3","1,4,8,2,7","1,2,3"
107,47,7,2,3,"7,6,5","7,5,3","7,6,5,3,1","7,5,3"
107,47,8,3,3,"5,2,6","6,5,2","5,2,6,7,1","6,5,2"
107,47,9,2,3,"5,1,8","1,5,3","5,1,8,4,3","1,5,3"
107,47,10,3,3,"2,1,9","9,2,1","2,1,9,8,5","9,2,1"
107,50,1,1,2,"4,1,9","6,7,4","4,1,9,6,8","6,7,4"
107,50,2,2,3,"10,8,6","4,10,8","10,8,6,4,1","4,10,8"
107,50,3,1,3,"7,3,5","6,8,7","7,3,5,6,8","6,8,7"
107,50,4,2,2,"1,7,3","1,5,7","1,7,3,8,10","1,5,7"
107,50,5,1,1,"4,7,5","4,6,11","4,7,5,2,12","4,6,11"
107,50,6,2,2,"8,7,5","8,1,7","8,7,5,9,4","8,1,7"
107,50,7,2,3,"3,4,5","4,7,3","3,4,5,1,7","4,7,3"
107,50,8,2,2,"6,8,3","8,6,1","6,8,3,9,10","8,6,1"
107,50,9,2,3,"6,7,2","9,7,6","6,7,2,3,9","9,7,6"
107,50,10,1,2,"1,2,10","2,9,7","1,2,10,11,7","2,9,7"
107,50,11,1,3,"2,4,6","6,8,9","2,4,6,8,9","6,8,9"
107,50,12,2,3,"3,5,2","3,2,1","3,5,2,1,4","3,2,1"
108,42,1,2,2,"12,9,6","12,1,9","12,9,6,4,11","12,1,9"
108,42,2,1,2,"2,6,9","2,11,7","2,6,9,12,11","2,11,7"
108,42,3,2,3,"6,9,1","6,1,10","6,9,1,10,8","6,1,10"
108,42,4,1,2,"2,11,3","4,5,3","2,11,3,6,5","4,5,3"
108,42,5,1,2,"2,12,11","5,10,2","2,12,11,7,10","5,10,2"
108,42,6,0,1,"6,3,10","1,7,4","6,3,10,5,1","1,7,4"
108,42,7,2,2,"4,11,10","4,11,8","4,11,10,9,1","4,11,8"
108,42,8,2,3,"2,9,5","12,9,5","2,9,5,12,10","12,9,5"
108,42,9,0,2,"2,12,8","6,3,5","2,12,8,5,3","6,3,5"
108,42,10,1,3,"1,2,5","8,2,7","1,2,5,8,7","8,2,7"
108,42,11,1,2,"7,4,12","7,6,2","7,4,12,2,3","7,6,2"
108,42,12,2,2,"6,2,9","2,6,1","6,2,9,8,3","2,6,1"
108,47,1,2,3,"2,7,3","3,2,1","2,7,3,4,1","3,2,1"
108,47,2,2,3,"6,5,3","2,6,3","6,5,3,2,7","2,6,3"
108,47,3,2,3,"1,2,5","1,5,6","1,2,5,7,6","1,5,6"
108,47,4,2,2,"3,1,7","1,5,3","3,1,7,8,4","1,5,3"
108,47,5,2,2,"1,2,6","4,1,6","1,2,6,7,5","4,1,6"
108,47,6,2,3,"4,1,8","4,7,1","4,1,8,6,7","4,7,1"
108,47,7,1,2,"2,4,6","3,4,1","2,4,6,3,5","3,4,1"
108,47,8,1,2,"1,5,4","6,3,4","1,5,4,3,2","6,3,4"
108,47,9,1,2,"7,4,3","7,5,6","7,4,3,1,6","7,5,6"
108,47,10,2,2,"2,9,8","8,2,1","2,9,8,6,7","8,2,1"
108,50,1,2,2,"4,7,5","7,1,4","4,7,5,3,8","7,1,4"
108,50,2,2,2,"6,8,5","6,8,9","6,8,5,10,1","6,8,9"
108,50,3,1,3,"9,5,1","2,11,9","9,5,1,11,2","2,11,9"
108,50,4,2,2,"1,5,8","1,9,5","1,5,8,6,4","1,9,5"
108,50,5,1,1,"12,7,3","7,8,4","12,7,3,10,1","7,8,4"
108,50,6,1,1,"8,6,10","2,8,4","8,6,10,9,1","2,8,4"
108,50,7,2,3,"8,6,1","10,8,1","8,6,1,10,4","10,8,1"
108,50,8,1,1,"5,7,4","5,8,9","5,7,4,2,3","5,8,9"
108,50,9,2,3,"5,3,2","3,9,2","5,3,2,4,9","3,9,2"
108,50,10,1,2,"12,2,5","12,9,3","12,2,5,9,10","12,9,3"
108,50,11,3,3,"3,8,2","3,8,2","3,8,2,1,4","3,8,2"
108,50,12,1,1,"1,3,5","7,3,10","1,3,5,2,8","7,3,10"
109,42,1,1,2,"9,4,1","1,3,2","9,4,1,7,3","1,3,2"
109,42,2,1,3,"10,1,9","9,6,4","10,1,9,4,6","9,6,4"
109,42,3,1,3,"10,2,1","2,3,5","10,2,1,5,3","2,3,5"
109,42,4,1,1,"12,8,1","9,12,13","12,8,1,6,2","9,12,13"
109,42,5,1,1,"12,2,8","11,10,12","12,2,8,4,1","11,10,12"
109,42,6,2,2,"3,6,11","6,5,3","3,6,11,10,1","6,5,3"
109,42,7,1,1,"6,2,5","2,4,12","6,2,5,1,3","2,4,12"
109,42,8,0,0,"8,7,10","3,4,5","8,7,10,2,12","3,4,5"
109,42,9,1,2,"9,5,10","2,7,10","9,5,10,2,12","2,7,10"
109,42,10,3,3,"12,4,10","12,10,4","12,4,10,7,8","12,10,4"
109,42,11,2,2,"9,6,5","6,1,9","9,6,5,3,2","6,1,9"
109,42,12,2,2,"6,3,8","6,5,3","6,3,8,10,1","6,5,3"
109,47,1,2,3,"8,7,1","8,7,6","8,7,1,4,6","8,7,6"
109,47,2,2,3,"4,5,7","5,7,2","4,5,7,2,1","5,7,2"
109,47,3,1,2,"9,2,5","2,1,3","9,2,5,6,1","2,1,3"
109,47,4,2,3,"2,5,4","2,5,6","2,5,4,8,6","2,5,6"
109,47,5,2,2,"2,6,5","2,6,3","2,6,5,1,8","2,6,3"
109,47,6,2,3,"5,1,3","2,3,1","5,1,3,8,2","2,3,1"
109,47,7,1,2,"6,7,8","1,4,7","6,7,8,5,1","1,4,7"
109,47,8,1,2,"4,1,6","3,7,1","4,1,6,8,7","3,7,1"
109,47,9,1,3,"3,4,8","1,2,3","3,4,8,2,1","1,2,3"
109,47,10,1,1,"8,5,9","8,4,10","8,5,9,1,6","8,4,10"
109,47,11,2,3,"7,3,4","1,7,3","7,3,4,8,1","1,7,3"
110,54,1,1,2,"7,3,8","7,9,2","7,3,8,2,6","7,9,2"
110,54,2,2,3,"2,9,8","9,2,3","2,9,8,3,1","9,2,3"
110,54,3,1,2,"7,2,5","2,3,8","7,2,5,6,8","2,3,8"
110,54,4,3,3,"5,1,3","5,1,3","5,1,3,4,2","5,1,3"
110,54,5,1,2,"3,4,8","4,2,10","3,4,8,10,7","4,2,10"
110,54,6,2,2,"1,8,2","9,2,1","1,8,2,10,7","9,2,1"
110,54,7,2,3,"4,7,5","4,7,9","4,7,5,8,9","4,7,9"
110,54,8,1,2,"4,2,8","4,5,1","4,2,8,9,1","4,5,1"
110,54,9,2,3,"9,8,6","9,6,10","9,8,6,10,7","9,6,10"
110,54,10,2,3,"5,6,3","5,6,2","5,6,3,2,1","5,6,2"
110,54,11,1,2,"4,11,2","4,9,8","4,11,2,3,9","4,9,8"
110,55,1,1,1,"1,11,4","1,6,7","1,11,4,2,3","1,6,7"
110,55,2,1,3,"6,3,7","7,8,5","6,3,7,8,5","7,8,5"
110,55,3,2,2,"6,2,7","6,1,7","6,2,7,8,4","6,1,7"
110,55,4,2,2,"3,6,5","3,6,4","3,6,5,2,8","3,6,4"
110,55,5,2,2,"2,9,6","2,9,5","2,9,6,3,4","2,9,5"
110,55,6,2,2,"4,3,11","4,11,6","4,3,11,5,12","4,11,6"
110,55,7,2,2,"11,4,10","11,10,7","11,4,10,9,2","11,10,7"
110,55,8,2,2,"1,6,7","1,6,3","1,6,7,4,10","1,6,3"
110,55,9,1,2,"3,9,7","3,1,4","3,9,7,4,8","3,1,4"
110,55,10,3,3,"4,11,2","4,11,2","4,11,2,5,9","4,11,2"
110,55,11,1,2,"9,7,11","9,10,6","9,7,11,10,2","9,10,6"
111,54,1,3,3,"8,2,6","8,6,2","8,2,6,3,5","8,6,2"
111,54,2,1,2,"7,10,2","7,5,3","7,10,2,3,8","7,5,3"
111,54,3,2,2,"3,9,8","3,9,7","3,9,8,2,1","3,9,7"
111,54,4,2,2,"7,5,3","7,6,5","7,5,3,8,1","7,6,5"
111,54,5,1,3,"2,8,6","5,2,4","2,8,6,4,5","5,2,4"
111,54,6,2,3,"5,8,2","2,1,5","5,8,2,3,1","2,1,5"
111,54,7,1,2,"5,2,8","8,6,9","5,2,8,6,4","8,6,9"
111,54,8,3,3,"1,7,2","1,2,7","1,7,2,5,3","1,2,7"
111,54,9,1,3,"2,3,5","1,8,2","2,3,5,1,8","1,8,2"
111,54,10,1,2,"2,4,7","2,5,6","2,4,7,6,3","2,5,6"
111,54,11,1,1,"9,5,4","1,5,11","9,5,4,8,2","1,5,11"
111,55,1,1,1,"10,1,9","9,4,5","10,1,9,6,8","9,4,5"
111,55,2,2,2,"7,2,10","2,7,6","7,2,10,3,11","2,7,6"
111,55,3,0,1,"1,11,7","8,6,2","1,11,7,10,8","8,6,2"
111,55,4,1,1,"1,7,4","1,6,2","1,7,4,9,5","1,6,2"
111,55,5,3,3,"3,1,9","3,1,9","3,1,9,10,7","3,1,9"
111,55,6,2,2,"2,7,9","2,9,8","2,7,9,6,4","2,9,8"
111,55,7,2,2,"8,5,6","5,6,10","8,5,6,4,11","5,6,10"
111,55,8,2,2,"4,9,1","4,1,7","4,9,1,3,5","4,1,7"
111,55,9,2,3,"4,2,5","6,4,5","4,2,5,6,3","6,4,5"
111,55,10,1,3,"3,8,7","7,1,11","3,8,7,11,1","7,1,11"
112,44,1,2,3,"13,6,2","13,6,4","13,6,2,4,7","13,6,4"
112,44,2,2,2,"5,4,12","5,12,2","5,4,12,14,11","5,12,2"
112,44,3,1,2,"10,5,6","6,8,1","10,5,6,1,9","6,8,1"
112,44,4,2,2,"1,2,3","3,2,6","1,2,3,4,5","3,2,6"
112,44,5,1,2,"1,2,3","3,6,5","1,2,3,4,5","3,6,5"
112,44,6,1,1,"14,4,6","14,13,3","14,4,6,8,2","14,13,3"
112,44,7,0,1,"7,8,13","11,5,1","7,8,13,11,3","11,5,1"
112,44,8,1,2,"10,4,7","10,1,2","10,4,7,9,1","10,1,2"
112,44,9,1,2,"6,14,9","12,9,5","6,14,9,12,3","12,9,5"
112,44,10,1,2,"8,5,10","4,9,5","8,5,10,4,1","4,9,5"
112,44,11,1,2,"3,1,6","9,1,2","3,1,6,9,8","9,1,2"
112,44,12,1,1,"7,1,5","2,8,5","7,1,5,4,6","2,8,5"
112,54,1,1,2,"3,5,6","3,1,7","3,5,6,4,1","3,1,7"
112,54,2,2,3,"3,1,6","3,6,5","3,1,6,2,5","3,6,5"
112,54,3,1,3,"5,8,9","4,5,7","5,8,9,4,7","4,5,7"
112,54,4,1,2,"4,9,5","9,7,2","4,9,5,1,7","9,7,2"
112,54,5,2,3,"2,5,4","2,5,1","2,5,4,7,1","2,5,1"
112,54,6,1,2,"10,4,11","1,2,11","10,4,11,3,1","1,2,11"
112,54,7,2,2,"9,1,10","9,3,10","9,1,10,4,8","9,3,10"
112,54,8,1,2,"4,6,3","1,6,5","4,6,3,5,7","1,6,5"
112,54,9,2,2,"6,8,2","8,2,1","6,8,2,5,3","8,2,1"
112,54,10,2,3,"5,3,8","8,3,4","5,3,8,4,6","8,3,4"
112,54,11,1,1,"5,2,8","1,3,2","5,2,8,6,9","1,3,2"
113,44,1,1,1,"5,11,4","5,9,1","5,11,4,8,13","5,9,1"
113,44,2,2,2,"9,13,3","10,3,13","9,13,3,8,4","10,3,13"
113,44,3,0,2,"8,4,2","9,10,1","8,4,2,9,1","9,10,1"
113,44,4,2,3,"10,6,16","6,1,10","10,6,16,1,9","6,1,10"
113,44,5,2,3,"9,12,1","12,8,9","9,12,1,8,13","12,8,9"
113,44,6,3,3,"13,10,8","10,8,13","13,10,8,1,11","10,8,13"
113,44,7,1,1,"8,6,10","10,4,7","8,6,10,1,9","10,4,7"
113,44,8,1,2,"3,12,4","8,2,12","3,12,4,2,11","8,2,12"
113,44,9,3,3,"2,1,8","2,1,8","2,1,8,5,3","2,1,8"
113,44,10,1,2,"3,6,7","3,12,2","3,6,7,4,12","3,12,2"
113,44,11,1,2,"4,5,2","9,4,6","4,5,2,6,10","9,4,6"
113,44,12,0,2,"6,12,5","14,7,3","6,12,5,3,14","14,7,3"
113,48,1,2,3,"3,9,5","9,3,1","3,9,5,6,1","9,3,1"
113,48,2,2,2,"3,9,10","7,3,9","3,9,10,2,6","7,3,9"
113,48,3,1,2,"4,2,11","2,6,3","4,2,11,6,10","2,6,3"
113,48,4,1,1,"11,1,6","4,3,6","11,1,6,2,7","4,3,6"
113,48,5,2,2,"9,3,7","9,12,3","9,3,7,10,8","9,12,3"
113,48,6,2,2,"9,12,5","10,12,5","9,12,5,11,6","10,12,5"
113,48,7,0,1,"8,6,9","12,4,1","8,6,9,10,1","12,4,1"
113,48,8,2,3,"11,4,5","5,11,6","11,4,5,6,7","5,11,6"
113,48,9,2,3,"2,5,3","2,3,4","2,5,3,1,4","2,3,4"
113,48,10,2,2,"4,10,5","4,10,8","4,10,5,9,6","4,10,8"
113,48,11,2,2,"9,3,12","12,6,9","9,3,12,7,1","12,6,9"
113,48,12,1,2,"8,2,4","9,7,4","8,2,4,9,1","9,7,4"
113,50,1,0,1,"12,4,9","5,11,10","12,4,9,7,10","5,11,10"
113,50,2,2,3,"6,1,5","4,6,5","6,1,5,4,2","4,6,5"
113,50,3,2,3,"8,9,6","9,8,11","8,9,6,2,11","9,8,11"
113,50,4,0,1,"9,12,2","6,10,3","9,12,2,6,7","6,10,3"
113,50,5,1,1,"2,5,3","3,10,1","2,5,3,9,6","3,10,1"
113,50,6,2,3,"10,9,6","9,6,4","10,9,6,4,5","9,6,4"
113,50,7,1,2,"2,8,4","9,4,10","2,8,4,5,9","9,4,10"
113,50,8,2,2,"6,2,7","6,7,11","6,2,7,10,5","6,7,11"
113,50,9,2,3,"7,5,9","7,9,1","7,5,9,2,1","7,9,1"
113,50,10,2,2,"8,4,2","8,5,4","8,4,2,1,7","8,5,4"
113,50,11,3,3,"9,8,4","8,9,4","9,8,4,7,6","8,9,4"
113,50,12,2,2,"6,4,7","11,6,4,12","6,4,7,8,5","11,6,4,12"
113,54,1,2,3,"5,9,8","9,5,6","5,9,8,1,6","9,5,6"
113,54,2,2,3,"1,3,4","3,7,1","1,3,4,7,6","3,7,1"
