kaisai_tsukihi,keibajo_code,race_bango,top3_hit_count,top5_hit_count,top3_predicted,top3_actual,top5_predicted,top5_actual
102,45,1,1,3,"1,2,3","1,4,12","1,2,3,4,5","1,4,12,9,2"
102,45,2,0,2,"12,13,7","1,4,9","12,13,7,9,10","1,4,9,13,5"
102,45,3,1,2,"10,8,3","3,12,11","10,8,3,4,9","3,12,11,10,6"
102,45,4,1,2,"7,5,11","2,11,6","7,5,11,12,1","2,11,6,8,5"
102,45,5,1,2,"1,2,3","3,12,7","1,2,3,4,5","3,12,7,5,9"
102,45,6,0,2,"8,5,10","3,14,7","8,5,10,13,14","3,14,7,8,2"
102,45,7,1,3,"6,2,11","4,6,8","6,2,11,13,8","4,6,8,10,2"
102,45,8,0,1,"7,12,6","2,10,11","7,12,6,13,1","2,10,11,1,4"
102,45,9,0,2,"11,8,3","4,10,12","11,8,3,4,12","4,10,12,1,2"
102,45,10,2,3,"7,14,8","14,3,8","7,14,8,9,12","14,3,8,13,7"
102,45,11,1,2,"5,7,1","4,6,7","5,7,1,3,2","4,6,7,1,8"
102,45,12,1,2,"8,3,13","8,5,12","8,3,13,11,2","8,5,12,7,2"
102,48,1,0,1,"1,2,3","9,11,8","1,2,3,4,5","9,11,8,7,4"
102,48,2,0,1,"1,2,3","8,9,7","1,2,3,4,5","8,9,7,2,11"
102,48,3,0,0,"3,8,9","5,6,10","3,8,9,4,11","5,6,10,7,2"
102,48,4,1,3,"9,4,10","10,8,1","9,4,10,1,2","10,8,1,7,2"
102,48,5,1,2,"9,3,1","4,10,1","9,3,1,4,6","4,10,1,7,8"
102,48,6,0,1,"8,1,3","2,4,5","8,1,3,7,6","2,4,5,9,6"
102,48,7,0,1,"2,10,3","11,1,6","2,10,3,7,9","11,1,6,7,5"
102,48,8,0,0,"2,7,8","10,9,11","2,7,8,3,1","10,9,11,4,6"
102,48,9,0,0,"3,10,2","1,11,12","3,10,2,8,9","1,11,12,7,4"
102,48,10,0,1,"9,7,5","3,11,12","9,7,5,1,2","3,11,12,10,9"
102,48,11,2,2,"11,4,8","7,4,8","11,4,8,5,2","7,4,8,1,10"
102,48,12,1,3,"5,6,1","9,4,5","5,6,1,4,3","9,4,5,6,2"
102,50,1,1,2,"6,9,1","8,11,9","6,9,1,5,11","8,11,9,2,4"
102,50,2,0,1,"1,2,3","9,12,11","1,2,3,4,5","9,12,11,6,2"
102,50,3,1,2,"1,2,3","11,1,8","1,2,3,4,5","11,1,8,6,4"
102,50,4,1,2,"5,11,7","11,6,9","5,11,7,10,3","11,6,9,8,3"
102,50,5,1,3,"8,6,11","11,7,2","8,6,11,7,4","11,7,2,8,9"
102,50,6,1,2,"8,5,4","5,2,6","8,5,4,1,7","5,2,6,3,7"
102,50,7,0,1,"4,9,11","8,7,12","4,9,11,1,10","8,7,12,1,6"
102,50,8,0,2,"6,4,9","11,3,2","6,4,9,1,12","11,3,2,9,1"
102,50,9,1,2,"2,10,8","5,10,9","2,10,8,11,3","5,10,9,7,2"
102,50,10,0,2,"2,4,3","12,1,5","2,4,3,8,5","12,1,5,10,8"
102,50,11,0,2,"2,8,7","11,10,12","2,8,7,6,11","11,10,12,8,9"
102,50,12,0,2,"11,12,1","5,6,3","11,12,1,3,8","5,6,3,8,4"
102,83,1,1,3,"1,2,3","8,1,7","1,2,3,4,5","8,1,7,3,2"
102,83,2,0,3,"1,2,3","4,7,5","1,2,3,4,5","4,7,5,6,3"
102,83,3,2,3,"1,2,3","3,1,6","1,2,3,4,5","3,1,6,10,5"
102,83,4,0,1,"1,2,3","6,7,9","1,2,3,4,5","6,7,9,1,8"
102,83,5,0,3,"1,2,3","8,4,5","1,2,3,4,5","8,4,5,9,3"
102,83,6,0,2,"1,2,3","7,5,10","1,2,3,4,5","7,5,10,6,3"
102,83,7,0,3,"1,2,3","5,4,8","1,2,3,4,5","5,4,8,9,1"
102,83,8,2,5,"1,2,3","2,4,1","1,2,3,4,5","2,4,1,3,5"
102,83,9,2,2,"1,2,3","7,1,3","1,2,3,4,5","7,1,3,9,8"
102,83,10,1,2,"1,2,3","6,3,4","1,2,3,4,5","6,3,4,7,9"
102,83,11,1,2,"1,2,3","8,4,3","1,2,3,4,5","8,4,3,7,9"
102,83,12,0,2,"1,2,3","7,8,6","1,2,3,4,5","7,8,6,3,2"
103,45,1,2,3,"1,2,3","4,3,1","1,2,3,4,5","4,3,1,9,7"
103,45,2,2,3,"1,2,3","2,1,6","1,2,3,4,5","2,1,6,4,8"
103,45,3,1,3,"1,2,3","1,5,7","1,2,3,4,5","1,5,7,9,4"
103,45,4,0,1,"10,7,5","13,4,12","10,7,5,12,14","13,4,12,3,2"
103,45,5,0,1,"10,12,6","1,3,2","10,12,6,1,9","1,3,2,7,8"
103,45,6,1,1,"8,7,11","7,10,2","8,7,11,5,6","7,10,2,9,1"
103,45,7,1,2,"1,9,8","2,4,1","1,9,8,3,10","2,4,1,7,9"
103,45,8,1,3,"11,4,3","12,11,7","11,4,3,5,8","12,11,7,3,8"
103,45,9,2,2,"5,4,11","4,5,12","5,4,11,8,3","4,5,12,9,1"
103,45,10,0,3,"2,1,3","7,4,9","2,1,3,7,9","7,4,9,2,10"
103,45,11,1,3,"1,4,3","2,3,10","1,4,3,10,9","2,3,10,9,6"
103,45,12,0,2,"5,12,1","9,2,3","5,12,1,10,11","9,2,3,11,5"
103,48,1,0,0,"1,2,3","6,11,10","1,2,3,4,5","6,11,10,9,12"
