kaisai_tsukihi,keibajo_code,race_bango,recommendation,top1_deviation,top5_predicted,top3_actual,hit_count,is_hit
1111,35,3,★★★★★,72.7,"10,3,9,1,6","10,3,2",2,×
1111,35,4,★★★★☆,66.3,"5,6,12,11,3","11,6,3",3,○
1111,35,5,★★★★★,77.2,"5,11,4,8,1","5,11,8",3,○
1111,35,6,★★★★☆,68.7,"4,2,7,6,3","5,4,6",2,×
1111,35,7,★★★★★,76.3,"7,5,3,10,9","10,7,11",2,×
1111,35,8,★★★★★,80.7,"11,6,12,2,4","11,4,8",2,×
1111,35,9,★★★★★,77.5,"4,5,2,6,9","5,4,10",2,×
1111,35,10,★★★★★,77.0,"10,4,8,3,7","8,10,3",3,○
1111,35,11,★★★★★,70.3,"1,8,4,3,10","2,1,10",2,×
1111,35,12,★★★★☆,69.2,"2,4,3,10,11","11,6,5",1,×
1111,44,1,★★★★★,73.3,"5,1,8,2,10","5,1,4",2,×
1111,44,2,★★★★★,73.1,"4,8,11,6,13","4,8,6",3,○
1111,44,3,★★★★☆,69.7,"3,6,7,5,1","3,7,6",3,○
1111,44,5,★★★★★,81.2,"3,8,1,6,12","3,7,1",2,×
1111,44,6,★★★★☆,69.5,"2,5,3,6,11","5,3,2",3,○
1111,44,7,★★★★★,70.6,"14,3,2,11,6","2,6,4",2,×
1111,44,8,★★★★★,75.3,"11,5,2,6,1","7,6,2",2,×
1111,44,9,★★★★★,78.1,"12,8,10,2,4","12,8,10",3,○
1111,44,10,★★★★★,71.0,"8,13,2,6,10","13,8,6",3,○
1111,44,11,★★★★★,76.3,"3,11,9,8,1","3,9,11",3,○
1111,44,12,★★★★★,80.3,"11,9,6,2,14","11,9,10",2,×
1111,46,1,★★★★★,72.0,"1,2,9,6,3","1,3,5",2,×
1111,46,2,★★★★★,72.5,"7,6,2,4,3","7,3,6",3,○
1111,46,3,★★★★★,70.5,"3,5,8,9,7","5,9,8",3,○
1111,46,6,★★★★★,76.0,"3,7,2,5,4","3,2,1",2,×
1111,46,7,★★★★☆,67.9,"4,9,2,1,6","9,4,2",3,○
1111,46,9,★★★★☆,66.6,"10,5,3,7,9","3,4,10",2,×
1111,46,10,★★★★★,71.5,"6,7,1,2,3","6,7,9",2,×
1111,46,11,★★★★★,73.3,"7,11,3,4,8","7,5,3",2,×
1111,48,2,★★★★★,77.1,"7,8,3,5,10","10,8,9",2,×
1111,48,3,★★★★★,74.5,"7,3,1,5,4","3,7,1",3,○
1111,48,4,★★★★★,73.5,"10,5,11,9,6","11,10,5",3,○
1111,48,5,★★★★☆,66.9,"11,9,10,2,6","9,11,7",2,×
1111,48,6,★★★★★,72.0,"8,10,5,3,4","8,5,3",3,○
1111,48,7,★★★★★,72.7,"5,2,11,6,1","2,5,11",3,○
1111,48,8,★★★★★,70.5,"8,4,10,9,6","6,8,4",3,○
1111,48,9,★★★★★,70.9,"9,2,7,6,10","6,2,9",3,○
1111,48,10,★★★★★,70.5,"1,3,2,4,10","1,4,3",3,○
1111,48,12,★★★★★,73.4,"6,11,9,1,7","1,11,9",3,○
1111,50,2,★★★★★,71.0,"5,8,2,9,10","5,8,9",3,○
1111,50,3,★★★★★,73.7,"2,3,5,9,7","2,9,10",2,×
1111,50,4,★★★★☆,67.7,"8,5,6,4,7","6,9,8",2,×
1111,50,5,★★★★☆,68.2,"11,9,7,6,10","11,7,10",3,○
1111,50,6,★★★★★,77.8,"3,8,6,7,9","3,10,8",2,×
1111,50,8,★★★★★,72.2,"10,1,8,7,6","10,4,6",2,×
1111,50,9,★★★★☆,68.8,"10,8,2,7,3","7,10,8",3,○
1111,50,10,★★★★★,74.6,"3,4,1,6,5","9,3,4",2,×
1111,50,11,★★★★★,73.0,"11,5,1,2,8","11,12,9",1,×
1112,30,1,★★★★★,79.0,"8,4,9,5,1","8,5,4",3,○
1112,30,2,★★★★☆,69.1,"10,8,9,5,6","9,8,5",3,○
1112,30,3,★★★★★,71.4,"4,6,5,12,10","4,6,5",3,○
1112,30,4,★★★★★,74.9,"5,14,2,8,12","2,3,8",2,×
1112,30,5,★★★★★,72.7,"4,10,2,8,15","4,10,15",3,○
1112,30,6,★★★★☆,69.0,"7,2,8,1,11","7,2,1",3,○
1112,30,7,★★★★☆,65.1,"10,2,8,3,1","8,3,10",3,○
1112,30,8,★★★★☆,66.8,"3,2,1,11,6","2,1,3",3,○
1112,30,9,★★★★★,70.7,"2,10,4,7,5","2,10,4",3,○
1112,30,10,★★★★★,77.7,"2,3,9,4,10","2,3,5",2,×
1112,30,11,★★★★☆,65.9,"3,4,6,8,5","8,4,5",3,○
1112,30,12,★★★★☆,68.7,"13,7,12,1,4","13,4,2",2,×
1112,35,1,★★★★★,73.9,"5,2,9,4,8","5,9,4",3,○
1112,35,2,★★★★★,75.0,"2,4,10,5,8","10,9,2",2,×
1112,35,3,★★★★☆,65.4,"7,4,5,6,9","4,5,9",3,○
1112,35,4,★★★★☆,68.4,"5,1,2,10,4","5,10,11",2,×
1112,35,5,★★★★☆,66.3,"2,6,7,5,4","7,6,2",3,○
1112,35,6,★★★★☆,66.0,"3,5,7,2,6","7,6,5",3,○
1112,35,7,★★★★★,70.1,"1,3,7,8,10","3,7,1",3,○
1112,35,8,★★★★☆,65.8,"3,4,9,5,6","3,8,9",2,×
1112,35,10,★★★★★,76.9,"3,6,2,7,9","3,2,6",3,○
1112,35,12,★★★★☆,68.7,"3,9,6,7,5","2,3,4",1,×
1112,44,1,★★★★☆,67.4,"3,12,5,1,7","1,3,7",3,○
1112,44,2,★★★★☆,68.8,"9,8,3,15,7","3,13,1",1,×
1112,44,3,★★★★★,70.9,"1,5,4,7,3","5,1,2",2,×
1112,44,4,★★★★★,76.3,"7,8,3,9,11","13,7,10",1,×
1112,44,5,★★★★★,71.4,"10,2,9,3,1","2,7,3",2,×
1112,44,6,★★★★★,73.6,"6,1,13,12,3","1,6,9",2,×
1112,44,7,★★★★☆,69.0,"11,9,4,8,6","11,12,7",1,×
1112,44,8,★★★★★,77.3,"7,6,3,10,9","7,2,5",1,×
1112,44,9,★★★★★,73.5,"6,7,11,2,1","11,6,4",2,×
1112,44,10,★★★★★,75.6,"4,3,7,5,2","7,4,3",3,○
1112,44,11,★★★★☆,66.6,"5,12,10,4,3","12,5,4",3,○
1112,48,1,★★★★★,73.8,"7,11,5,10,6","7,10,5",3,○
1112,48,2,★★★★★,73.9,"11,6,10,3,4","6,11,10",3,○
1112,48,3,★★★★★,73.0,"11,9,5,12,7","11,1,9",2,×
1112,48,4,★★★★★,77.2,"5,11,10,3,6","5,7,3",2,×
1112,48,5,★★★★★,76.1,"11,6,7,10,5","7,6,11",3,○
1112,48,6,★★★★★,70.2,"6,8,1,4,11","6,1,8",3,○
1112,48,7,★★★★☆,68.7,"4,6,1,5,9","4,9,1",3,○
1112,48,8,★★★★★,72.7,"11,3,4,9,5","11,3,9",3,○
1112,48,9,★★★★★,70.8,"1,10,5,2,11","10,1,2",3,○
1112,48,11,★★★★★,70.6,"2,7,1,6,4","2,6,4",3,○
1112,48,12,★★★★★,81.5,"3,6,11,5,8","3,9,5",2,×
1112,50,1,★★★★★,75.3,"1,4,10,9,2","10,4,1",3,○
1112,50,3,★★★★☆,68.4,"2,5,4,3,1","4,2,5",3,○
1112,50,4,★★★★☆,66.4,"2,5,9,10,8","5,2,8",3,○
1112,50,5,★★★★★,77.5,"7,1,8,11,5","7,11,8",3,○
1112,50,6,★★★★☆,65.8,"4,7,2,6,3","4,7,10",2,×
1112,50,7,★★★★★,71.9,"2,3,1,5,4","6,2,4",2,×
1112,50,8,★★★★☆,68.9,"10,8,9,1,5","8,10,5",3,○
1112,50,9,★★★★★,72.1,"10,9,4,7,8","4,6,10",2,×
1112,50,10,★★★★★,73.4,"6,4,3,2,5","2,6,3",3,○
1112,50,12,★★★★★,73.6,"3,9,10,1,11","10,6,9",2,×
1113,30,1,★★★★★,71.5,"8,10,6,7,2","8,10,5",2,×
1113,30,2,★★★★☆,68.4,"1,8,12,6,4","8,12,1",3,○
1113,30,3,★★★★★,71.7,"7,11,4,6,2","7,11,4",3,○
1113,30,5,★★★★☆,65.8,"3,8,10,11,7","7,3,4",2,×
1113,30,7,★★★★★,71.3,"2,13,10,15,8","15,4,13",2,×
1113,30,8,★★★★★,76.2,"5,9,11,12,8","5,9,3",2,×
1113,30,9,★★★★★,74.7,"7,4,3,5,2","7,3,1",2,×
1113,30,10,★★★★★,72.0,"5,10,6,9,7","5,11,3",1,×
1113,30,11,★★★★★,71.8,"5,4,8,6,10","4,8,3",2,×
1113,30,12,★★★★★,74.7,"8,10,5,3,7","8,10,3",3,○
1113,44,1,★★★★★,75.8,"7,10,12,3,5","5,6,12",2,×
1113,44,2,★★★★★,80.2,"2,3,13,1,12","4,12,13",2,×
1113,44,3,★★★★★,72.2,"8,7,9,4,2","9,7,8",3,○
1113,44,4,★★★★★,73.3,"10,2,4,1,8","2,10,1",3,○
1113,44,5,★★★★☆,66.1,"9,7,6,3,8","9,3,6",3,○
1113,44,6,★★★★★,71.6,"8,4,1,10,9","8,4,1",3,○
1113,44,8,★★★★★,73.8,"13,11,5,7,6","1,13,11",2,×
1113,44,9,★★★★★,75.4,"10,2,12,7,3","10,12,13",2,×
1113,44,10,★★★★★,71.3,"4,1,13,16,5","4,16,13",3,○
1113,44,12,★★★★★,76.8,"2,12,6,10,9","2,6,12",3,○
1113,48,1,★★★★★,74.8,"8,9,4,10,1","8,9,5",2,×
1113,48,2,★★★★★,73.7,"9,1,2,5,10","10,9,4",2,×
1113,48,3,★★★★★,76.9,"9,7,5,4,2","9,7,8",2,×
1113,48,4,★★★★★,72.9,"5,6,9,2,10","10,9,6",3,○
1113,48,5,★★★★☆,67.3,"2,6,3,5,11","5,6,8",2,×
1113,48,6,★★★★☆,69.8,"1,3,8,9,6","10,11,9",1,×
1113,48,7,★★★★★,73.4,"8,9,3,7,5","10,8,9",2,×
1113,48,8,★★★★★,77.0,"11,9,8,1,5","11,1,6",2,×
1113,48,9,★★★★☆,66.8,"8,4,10,9,7","4,8,10",3,○
1113,48,11,★★★★★,74.0,"7,8,6,3,9","6,8,9",3,○
1113,48,12,★★★★★,71.0,"10,3,8,7,11","3,10,7",3,○
1113,50,1,★★★★★,76.1,"5,2,3,8,1","5,2,4",2,×
1113,50,3,★★★★★,74.0,"1,7,10,8,5","7,1,10",3,○
1113,50,4,★★★★★,74.3,"5,10,12,1,11","10,12,5",3,○
1113,50,6,★★★★☆,66.4,"6,3,7,2,9","6,10,2",2,×
1113,50,7,★★★★★,71.2,"10,8,4,3,7","5,10,9",1,×
1113,50,9,★★★★★,73.7,"4,10,8,3,5","4,10,8",3,○
1113,50,10,★★★★★,73.6,"3,6,5,8,7","3,1,7",2,×
1113,50,11,★★★★☆,66.0,"8,7,9,5,1","12,9,5",2,×
1113,50,12,★★★★★,71.4,"1,8,7,4,2","8,1,4",3,○
1114,44,1,★★★★☆,65.9,"4,11,9,10,6","4,6,8",2,×
1114,44,2,★★★★☆,67.9,"9,4,1,3,7","10,2,9",1,×
1114,44,3,★★★★☆,67.6,"6,10,7,3,1","8,1,10",2,×
1114,44,5,★★★★☆,68.7,"2,5,9,6,10","5,2,6",3,○
1114,44,6,★★★★★,74.6,"11,12,4,3,13","12,11,3",3,○
1114,44,7,★★★★★,71.0,"10,5,8,12,6","8,5,10",3,○
1114,44,8,★★★★★,72.7,"4,8,9,6,14","4,8,6",3,○
1114,44,9,★★★★★,73.6,"1,12,4,3,5","12,9,4",2,×
1114,44,11,★★★★☆,68.6,"12,4,7,5,11","4,12,5",3,○
1114,44,12,★★★★★,70.2,"4,8,1,2,16","4,2,9",2,×
1114,47,1,★★★★☆,69.6,"2,8,10,9,7","2,10,5",2,×
1114,47,3,★★★★☆,66.7,"3,9,10,2,1","9,3,1",3,○
1114,47,4,★★★★☆,66.9,"6,3,1,2,7","3,6,7",3,○
1114,47,5,★★★★☆,65.7,"8,7,3,5,6","3,7,4",2,×
1114,47,6,★★★★★,72.6,"8,2,5,4,3","8,4,3",3,○
1114,47,7,★★★★☆,65.3,"1,2,4,6,10","1,2,10",3,○
1114,47,9,★★★★☆,67.8,"2,1,4,3,9","3,4,5",2,×
1114,47,10,★★★★★,73.3,"9,3,4,6,2","6,1,4",2,×
1114,47,12,★★★★☆,65.1,"3,1,4,5,9","4,2,1",2,×
1115,54,1,★★★★★,76.1,"2,3,7,8,5","2,3,4",2,×
1115,54,2,★★★★★,71.4,"4,10,1,9,2","7,4,6",1,×
1115,54,3,★★★★☆,68.2,"5,2,4,7,3","5,2,6",2,×
1115,54,4,★★★★★,71.5,"10,9,3,1,5","10,2,9",2,×
1115,54,5,★★★★☆,66.8,"6,9,1,2,10","10,1,6",3,○
1115,54,6,★★★★★,73.3,"11,9,6,4,5","11,9,1",2,×
1115,54,7,★★★★★,75.6,"9,8,1,4,3","9,8,10",2,×
1115,54,9,★★★★★,72.2,"4,2,6,10,7","4,1,2",2,×
1115,54,10,★★★★☆,68.3,"8,10,2,6,4","4,11,3",1,×
1115,54,11,★★★★★,71.9,"4,9,8,7,5","4,7,8",3,○
1115,54,12,★★★★★,76.1,"11,9,7,2,3","11,12,2",2,×
1115,55,1,★★★★★,77.5,"7,11,10,5,2","7,11,1",2,×
1115,55,2,★★★★★,70.5,"3,5,4,2,6","3,2,6",3,○
1115,55,3,★★★★☆,67.1,"7,2,1,3,6","4,7,5",1,×
1115,55,5,★★★★★,79.0,"3,8,11,7,1","8,3,5",2,×
1115,55,6,★★★★★,73.2,"2,7,6,11,1","2,1,8",2,×
1115,55,7,★★★★★,74.4,"11,9,4,5,2","11,8,10",1,×
1115,55,8,★★★★☆,68.3,"6,9,2,5,8","2,4,5",2,×
1115,55,9,★★★★★,75.8,"9,3,6,7,2","11,9,4",1,×
1115,55,10,★★★★☆,69.3,"1,7,5,2,11","1,10,5",2,×
1115,55,11,★★★★☆,69.6,"10,3,6,2,8","8,2,4",2,×
1116,35,2,★★★★☆,69.0,"10,9,5,6,4","5,10,2",2,×
1116,35,3,★★★★★,72.5,"8,1,4,3,11","4,1,8",3,○
1116,35,4,★★★★★,71.9,"1,5,3,9,2","1,5,4",2,×
1116,35,5,★★★★☆,67.0,"6,5,10,1,2","1,6,2",3,○
1116,35,6,★★★★★,70.2,"7,2,8,9,5","7,2,1",2,×
1116,35,7,★★★★★,70.6,"1,8,5,4,6","1,3,2",1,×
1116,35,8,★★★★★,78.1,"2,11,4,7,5","2,9,6",1,×
1116,35,9,★★★★★,81.0,"10,9,8,11,2","10,1,5",1,×
1116,35,10,★★★★★,75.3,"1,3,7,10,8","1,10,8",3,○
1116,35,12,★★★★★,71.1,"7,9,10,11,4","7,2,6",1,×
1116,46,2,★★★★★,73.3,"3,2,1,8,7","3,8,2",3,○
1116,46,3,★★★★☆,69.3,"2,4,5,3,1","2,1,5",3,○
1116,46,4,★★★★☆,66.3,"3,6,2,5,8","3,1,6",2,×
1116,46,5,★★★★★,72.4,"2,1,4,3,5","2,4,3",3,○
1116,46,6,★★★★★,70.4,"6,1,4,7,2","4,6,1",3,○
1116,46,7,★★★★☆,66.7,"6,4,7,5,3","4,7,6",3,○
1116,46,8,★★★★★,72.7,"4,6,3,8,1","4,5,6",2,×
1116,46,9,★★★★★,70.4,"2,5,8,10,11","7,5,1",1,×
1116,46,10,★★★★★,77.7,"10,2,7,4,9","6,4,10",2,×
1116,54,1,★★★★☆,69.6,"5,7,9,4,6","7,4,5",3,○
1116,54,3,★★★★★,71.6,"6,8,5,10,1","8,6,10",3,○
1116,54,4,★★★★★,73.4,"2,4,6,5,8","2,5,6",3,○
1116,54,5,★★★★★,76.7,"12,4,2,3,7","12,6,4",2,×
1116,54,6,★★★★★,70.5,"9,4,11,10,8","9,6,5",1,×
1116,54,7,★★★★☆,69.0,"9,2,11,8,7","9,11,2",3,○
1116,54,8,★★★★★,78.5,"1,7,4,5,8","1,4,7",3,○
1116,54,9,★★★★★,73.5,"9,4,1,2,3","9,10,2",2,×
1116,54,10,★★★★☆,68.5,"2,7,4,6,8","5,8,6",2,×
1116,54,11,★★★★☆,65.5,"6,2,3,8,5","6,5,4",2,×
1116,54,12,★★★★★,71.8,"4,6,5,10,1","12,1,4",2,×
1116,55,3,★★★★★,76.7,"5,8,4,3,7","5,1,8",2,×
1116,55,4,★★★★★,70.1,"8,11,6,9,2","11,6,8",3,○
1116,55,5,★★★★★,70.2,"6,4,2,1,7","3,11,6",1,×
1116,55,7,★★★★☆,68.6,"11,12,5,10,7","12,11,10",3,○
1116,55,9,★★★★★,72.7,"8,7,6,2,9","2,8,6",3,○
1116,55,10,★★★★★,72.1,"5,10,2,6,4","5,11,1",1,×
1116,55,11,★★★★★,73.6,"2,9,8,5,4","2,9,6",2,×
1117,35,2,★★★★★,75.1,"10,5,11,7,2","7,10,11",3,○
1117,35,3,★★★★★,76.6,"9,7,6,1,8","9,4,1",2,×
1117,35,4,★★★★☆,67.2,"7,5,1,3,8","7,1,3",3,○
1117,35,5,★★★★★,75.6,"10,8,1,9,6","10,8,5",2,×
1117,35,6,★★★★☆,65.8,"11,9,2,10,7","9,8,11",2,×
1117,35,7,★★★★☆,68.1,"9,12,3,8,11","12,11,7",2,×
1117,35,8,★★★★☆,65.5,"3,6,4,11,12","5,1,3",1,×
1117,35,9,★★★★★,71.1,"2,9,10,4,7","9,4,2",3,○
1117,35,10,★★★★★,71.4,"1,7,2,6,4","2,1,3",2,×
1117,35,11,★★★★★,72.1,"1,8,9,4,2","1,2,5",2,×
1117,35,12,★★★★☆,67.3,"9,6,5,8,1","5,4,8",2,×
1117,45,1,★★★★★,71.7,"2,4,3,5,7","2,5,1",2,×
1117,45,4,★★★★★,74.8,"10,6,7,5,8","10,7,6",3,○
1117,45,5,★★★★☆,68.9,"2,10,3,4,7","3,2,10",3,○
1117,45,6,★★★★★,72.6,"7,6,12,11,3","11,6,12",3,○
1117,45,7,★★★★★,79.4,"1,5,3,11,12","1,11,5",3,○
1117,45,8,★★★★☆,67.1,"12,10,11,13,14","1,14,13",2,×
1117,45,9,★★★★★,70.3,"14,9,1,2,4","14,10,12",1,×
1117,45,10,★★★★★,74.7,"12,9,5,6,4","6,12,8",2,×
1117,45,11,★★★★☆,69.8,"9,2,5,6,11","9,5,10",2,×
1117,45,12,★★★★★,80.5,"8,3,9,5,12","8,9,5",3,○
1117,46,1,★★★★☆,67.8,"6,7,5,2,1","7,3,2",2,×
1117,46,2,★★★★☆,69.1,"2,4,7,8,5","2,4,7",3,○
1117,46,3,★★★★☆,68.4,"7,1,3,2,8","7,3,2",3,○
1117,46,4,★★★★☆,66.2,"7,4,1,2,5","7,4,1",3,○
1117,46,5,★★★★☆,65.2,"5,1,4,7,8","5,4,1",3,○
1117,46,6,★★★★★,70.4,"5,7,3,4,1","5,3,7",3,○
1117,46,7,★★★★☆,66.8,"2,8,4,7,1","2,1,7",3,○
1117,46,8,★★★★☆,65.4,"7,4,6,1,2","7,1,4",3,○
1117,46,10,★★★★★,75.9,"10,9,3,2,1","10,3,9",3,○
1117,46,11,★★★★☆,67.1,"4,9,7,10,2","11,3,8",0,×
1117,46,12,★★★★★,71.0,"1,4,9,12,5","4,2,12",2,×
1118,35,1,★★★★★,71.0,"1,5,4,8,7","4,1,8",3,○
1118,35,2,★★★★★,76.6,"3,10,1,7,9","3,10,6",2,×
1118,35,3,★★★★☆,69.3,"8,4,9,3,6","8,3,9",3,○
1118,35,4,★★★★★,74.6,"10,2,5,9,4","4,2,10",3,○
1118,35,6,★★★★★,79.9,"6,9,2,12,10","6,1,5",1,×
1118,35,7,★★★★★,76.7,"2,6,7,4,3","2,7,3",3,○
1118,35,8,★★★★★,73.4,"7,2,1,10,8","9,7,2",2,×
1118,35,9,★★★★★,77.5,"10,3,8,7,2","10,2,6",2,×
1118,35,10,★★★★★,74.2,"12,10,2,11,6","2,4,10",2,×
1118,35,11,★★★★☆,65.0,"10,3,8,7,4","3,1,2",1,×
1118,35,12,★★★★★,76.3,"9,5,1,4,7","6,8,7",1,×
1118,45,1,★★★★★,76.7,"7,10,6,4,8","7,6,4",3,○
1118,45,3,★★★★☆,66.6,"7,5,11,10,2","7,11,5",3,○
1118,45,4,★★★★★,72.9,"2,11,5,1,6","2,1,5",3,○
1118,45,5,★★★★★,73.4,"4,9,12,2,1","7,12,4",2,×
1118,45,6,★★★★★,77.0,"6,3,5,7,14","14,6,9",2,×
1118,45,8,★★★★★,75.5,"10,9,2,6,8","6,10,5",2,×
1118,45,9,★★★★☆,68.1,"5,9,10,8,4","11,4,5",2,×
1118,45,10,★★★★☆,68.6,"9,5,6,4,2","9,4,5",3,○
1118,45,11,★★★★☆,68.3,"8,2,11,3,7","8,2,4",2,×
1118,45,12,★★★★★,73.5,"4,11,7,6,13","4,9,8",1,×
1118,47,1,★★★★☆,66.3,"6,8,4,1,2","2,6,8",3,○
1118,47,2,★★★★★,72.4,"4,3,5,7,9","3,4,7",3,○
1118,47,5,★★★★★,76.4,"1,11,5,3,12","5,1,3",3,○
1118,47,6,★★★★☆,68.0,"5,6,7,3,1","5,6,1",3,○
1118,47,7,★★★★☆,66.2,"6,5,9,3,7","6,9,5",3,○
1118,47,8,★★★★☆,69.2,"5,1,3,2,8","1,8,2",3,○
1118,47,9,★★★★☆,68.7,"8,3,1,5,9","3,1,5",3,○
1118,47,11,★★★★☆,65.8,"2,10,7,4,9","10,9,7",3,○
1118,47,12,★★★★★,75.8,"3,5,8,6,2","3,6,9",2,×
1118,50,1,★★★★☆,65.7,"10,2,9,1,5","9,10,2",3,○
1118,50,2,★★★★★,70.1,"1,9,6,2,7","9,6,2",3,○
1118,50,3,★★★★☆,65.2,"8,7,3,6,9","6,11,10",1,×
1118,50,4,★★★★★,70.4,"3,8,9,4,11","9,7,4",2,×
1118,50,5,★★★★★,75.3,"4,2,11,1,6","2,4,11",3,○
1118,50,6,★★★★☆,66.7,"7,4,8,6,2","7,8,2,10",3,○
1118,50,7,★★★★★,71.3,"9,4,1,10,6","10,6,9",3,○
1118,50,8,★★★★☆,68.7,"5,2,7,4,9","5,2,7",3,○
1118,50,9,★★★★★,71.9,"11,4,1,8,6","4,11,1",3,○
1118,50,10,★★★★★,77.7,"11,8,9,3,6","11,6,3",3,○
1118,50,12,★★★★☆,69.3,"5,10,3,2,7","4,10,5",2,×
1119,45,1,★★★★★,71.3,"4,1,7,3,8","4,1,3",3,○
1119,45,2,★★★★★,72.0,"2,8,4,7,1","2,8,7",3,○
1119,45,3,★★★★★,75.5,"5,3,9,1,12","5,3,4",2,×
1119,45,4,★★★★★,77.2,"8,1,10,5,3","8,10,5",3,○
1119,45,5,★★★★★,75.8,"5,8,7,9,12","5,8,9",3,○
1119,45,6,★★★★★,79.9,"1,6,2,12,10","1,6,5",2,×
1119,45,7,★★★★★,76.4,"8,9,3,2,1","8,9,2",3,○
1119,45,8,★★★★★,74.0,"8,7,1,4,11","8,7,3",2,×
1119,45,9,★★★★☆,69.0,"8,3,6,9,1","3,6,8",3,○
1119,45,10,★★★★☆,69.7,"5,4,12,10,2","5,12,4",3,○
1119,45,11,★★★★☆,69.1,"1,9,5,6,7","1,9,5",3,○
1119,47,1,★★★★★,72.9,"5,2,1,6,8","5,1,7",2,×
1119,47,2,★★★★★,74.4,"10,9,5,1,7","10,9,5",3,○
1119,47,3,★★★★★,71.4,"8,7,4,1,3","8,4,3",3,○
1119,47,4,★★★★★,72.6,"6,8,10,3,1","6,10,8",3,○
1119,47,6,★★★★★,78.0,"10,7,2,3,8","10,4,6",1,×
1119,47,7,★★★★☆,67.8,"6,2,1,8,10","6,3,2",2,×
1119,47,9,★★★★★,72.5,"10,4,7,3,9","4,10,9",3,○
1119,47,10,★★★★☆,67.6,"4,5,2,8,1","4,8,2",3,○
1119,47,11,★★★★☆,65.9,"3,2,7,6,8","6,4,2",2,×
1119,47,12,★★★★☆,69.4,"7,6,5,3,1","5,6,7",3,○
1119,50,1,★★★★★,70.6,"9,6,5,4,3","4,5,8",2,×
1119,50,2,★★★★★,76.3,"2,8,7,4,6","8,2,7",3,○
1119,50,3,★★★★★,71.0,"9,7,10,5,1","5,10,7",3,○
1119,50,6,★★★★★,70.1,"12,8,2,9,10","9,8,5",2,×
1119,50,7,★★★★☆,69.3,"8,3,9,10,7","8,3,9",3,○
1119,50,8,★★★★★,73.9,"5,4,6,2,3","5,4,3",3,○
1119,50,9,★★★★★,75.8,"7,9,1,5,10","9,7,2",2,×
1119,50,10,★★★★★,70.2,"1,7,8,12,4","4,2,1",2,×
1119,50,11,★★★★☆,65.8,"10,2,3,9,11","10,3,4",2,×
1119,50,12,★★★★★,72.9,"6,7,12,1,5","6,12,7",3,○
1120,45,1,★★★★☆,65.9,"6,1,7,5,8","6,7,1",3,○
1120,45,2,★★★★☆,68.7,"7,1,4,6,2","1,3,7",2,×
1120,45,3,★★★★☆,67.2,"5,2,10,1,3","2,4,5",2,×
1120,45,4,★★★★☆,69.8,"1,2,9,5,10","2,1,9",3,○
1120,45,5,★★★★★,71.4,"4,10,11,2,7","4,12,6",1,×
1120,45,6,★★★★★,73.2,"10,9,11,3,5","10,4,2",1,×
1120,45,7,★★★★★,75.4,"7,3,2,4,8","5,7,2",2,×
1120,45,8,★★★★★,73.1,"11,1,4,8,12","4,3,11",2,×
1120,45,9,★★★★☆,67.7,"10,11,7,12,2","7,10,2",3,○
1120,45,10,★★★★★,71.8,"3,10,8,13,5","3,8,2",2,×
1120,45,11,★★★★☆,68.4,"3,10,7,6,9","10,3,6",3,○
1120,45,12,★★★★★,72.6,"1,6,9,3,4","6,4,1",3,○
1120,48,1,★★★★★,81.0,"7,2,5,4,1","7,4,2",3,○
1120,48,2,★★★★★,76.0,"3,6,1,12,4","3,10,8",1,×
1120,48,3,★★★★☆,68.7,"4,5,11,3,6","4,3,6",3,○
1120,48,5,★★★★☆,68.1,"12,5,1,11,4","5,11,4",3,○
1120,48,6,★★★★★,71.0,"5,11,8,2,12","5,11,8",3,○
1120,48,8,★★★★★,76.3,"7,6,9,12,10","7,6,10",3,○
1120,48,9,★★★★☆,69.5,"12,9,7,4,5","12,9,7",3,○
1120,48,10,★★★★★,80.7,"9,8,12,7,5","9,11,2",1,×
1120,48,11,★★★★☆,68.8,"5,2,12,7,4","12,1,5",2,×
1120,48,12,★★★★★,75.1,"3,11,8,6,9","3,2,11",2,×
1120,50,1,★★★★★,72.4,"5,2,9,1,3","2,5,8",2,×
1120,50,4,★★★★★,74.4,"8,9,1,3,4","8,3,4",3,○
1120,50,5,★★★★★,78.8,"10,3,9,7,11","10,8,1",1,×
1120,50,6,★★★★★,71.5,"4,7,3,10,6","9,4,3",2,×
1120,50,7,★★★★★,73.4,"4,6,7,1,5","4,7,3",2,×
1120,50,9,★★★★☆,68.4,"3,4,8,6,9","8,3,6",3,○
1120,50,10,★★★★★,70.9,"3,6,4,1,5","3,6,4",3,○
1120,50,11,★★★★☆,69.8,"8,9,10,1,7","7,8,1",3,○
1120,50,12,★★★★★,71.5,"12,7,3,6,10","7,12,11",2,×
1121,45,1,★★★★☆,69.9,"2,1,5,4,3","1,2,4",3,○
1121,45,3,★★★★☆,68.3,"5,7,6,4,1","5,7,1",3,○
1121,45,4,★★★★☆,66.1,"3,7,1,4,5","3,7,5",3,○
1121,45,5,★★★★☆,68.2,"8,5,3,1,2","3,2,8",3,○
1121,45,6,★★★★★,77.1,"4,1,9,10,7","4,1,6",2,×
1121,45,7,★★★★☆,69.1,"7,11,9,12,6","11,7,2",2,×
1121,45,8,★★★★☆,65.3,"9,8,5,4,7","3,8,1",1,×
1121,45,9,★★★★★,70.8,"2,5,10,9,3","9,5,3",3,○
1121,45,10,★★★★★,74.1,"6,2,1,13,4","6,13,2",3,○
