kaisai_tsukihi,keibajo_code,race_bango,recommendation,top1_deviation,top5_predicted,top3_actual,hit_count,is_hit
1101,55,8,★★★★★,71.1,"8,4,11,5,7","11,6,8",2,×
1101,55,9,★★★★☆,68.7,"6,7,10,2,1","8,7,4",1,×
1101,55,10,★★★★★,75.4,"3,12,10,2,7","10,3,8",2,×
1101,55,11,★★★★★,77.0,"10,8,9,11,5","10,8,7",2,×
1102,35,1,★★★★☆,67.8,"7,2,1,11,9","1,3,5",1,×
1102,35,2,★★★★★,73.6,"10,4,8,7,11","10,12,4",2,×
1102,35,3,★★★★★,74.5,"6,4,5,3,9","6,9,5",3,○
1102,35,4,★★★★☆,67.7,"9,8,4,2,3","8,9,4",3,○
1102,35,5,★★★★☆,69.1,"2,3,10,1,4","2,1,3",3,○
1102,35,6,★★★★★,74.7,"1,5,9,7,10","1,10,5",3,○
1102,35,7,★★★★★,72.6,"1,10,2,3,4","7,1,10",2,×
1102,35,8,★★★★★,74.9,"8,4,1,11,6","2,8,4",2,×
1102,35,9,★★★★★,77.7,"3,7,9,10,2","3,7,1",2,×
1102,35,10,★★★★☆,68.5,"11,5,7,3,6","5,11,7",3,○
1102,35,11,★★★★☆,65.2,"9,10,6,2,11","2,10,4",2,×
1102,54,1,★★★★★,72.1,"1,7,3,2,4","3,4,1",3,○
1102,54,2,★★★★☆,67.9,"5,4,3,9,6","3,6,2",2,×
1102,54,3,★★★★★,73.7,"8,2,4,1,6","1,8,6",3,○
1102,54,4,★★★★☆,68.5,"7,12,3,1,6","7,10,11",1,×
1102,54,5,★★★★☆,70.0,"6,3,10,5,12","6,3,12",3,○
1102,54,6,★★★★★,79.4,"7,11,1,6,8","7,9,3",1,×
1102,54,7,★★★★★,70.2,"7,10,1,4,2","10,3,4",2,×
1102,54,9,★★★★★,71.0,"11,5,7,8,9","11,5,9",3,○
1102,54,10,★★★★☆,69.2,"2,5,6,3,4","8,5,4",2,×
1102,54,11,★★★★★,75.3,"9,6,5,10,2","9,6,7",2,×
1102,54,12,★★★★★,79.2,"10,6,8,12,7","12,4,10",2,×
1102,55,1,★★★★★,77.6,"7,9,10,8,4","7,9,6",2,×
1102,55,2,★★★★★,72.4,"4,10,2,8,7","10,4,2",3,○
1102,55,3,★★★★★,75.8,"10,4,1,2,6","10,2,4",3,○
1102,55,4,★★★★☆,69.3,"11,6,1,7,4","11,12,6",2,×
1102,55,5,★★★★★,73.1,"9,1,2,7,8","4,9,6",1,×
1102,55,6,★★★★★,70.5,"7,4,3,8,1","2,8,4",2,×
1102,55,7,★★★★☆,67.7,"11,6,9,1,8","11,6,8",3,○
1102,55,10,★★★★★,78.3,"9,1,8,6,11","1,9,11",3,○
1102,55,11,★★★★☆,67.1,"7,4,5,10,9","5,4,6",2,×
1103,30,1,★★★★★,71.9,"5,9,1,7,4","1,5,9",3,○
1103,30,3,★★★★★,71.8,"9,7,6,8,3","8,9,7",3,○
1103,30,6,★★★★☆,66.5,"7,6,3,5,2","7,5,6",3,○
1103,30,7,★★★★★,73.7,"1,2,6,5,8","1,6,2",3,○
1103,30,8,★★★★★,75.9,"7,3,8,10,6","3,10,7",3,○
1103,30,9,★★★★★,71.9,"4,3,8,2,9","4,8,3",3,○
1103,30,10,★★★★★,75.1,"6,7,3,9,1","6,3,7",3,○
1103,30,11,★★★★☆,68.7,"4,10,1,2,8","4,5,2",2,×
1103,30,12,★★★★☆,68.7,"5,14,12,13,6","5,14,12",3,○
1103,43,1,★★★★★,74.6,"4,10,8,2,9","4,2,5",2,×
1103,43,3,★★★★★,72.5,"6,4,12,5,10","6,4,5",3,○
1103,43,4,★★★★☆,66.6,"7,12,10,3,4","7,4,12",3,○
1103,43,5,★★★★★,73.2,"12,14,13,10,1","1,12,13",3,○
1103,43,6,★★★★☆,65.7,"12,11,9,1,8","11,6,9",2,×
1103,43,7,★★★★★,70.3,"11,6,8,2,3","6,8,11",3,○
1103,43,8,★★★★☆,69.7,"11,3,8,2,4","5,10,4",1,×
1103,43,9,★★★★★,71.8,"9,2,5,12,14","5,2,9",3,○
1103,43,10,★★★★★,72.4,"3,13,1,10,5","3,13,1",3,○
1103,43,11,★★★★☆,67.3,"13,9,5,7,2","13,2,5",3,○
1103,43,12,★★★★★,76.6,"5,9,1,10,3","5,1,10",3,○
1103,50,1,★★★★☆,65.2,"9,8,1,5,6","2,5,6",2,×
1103,50,2,★★★★★,71.1,"5,3,6,2,1","5,1,2",3,○
1103,50,3,★★★★☆,66.6,"4,5,3,6,1","4,3,6",3,○
1103,50,4,★★★★☆,66.0,"9,8,5,6,1","9,8,5",3,○
1103,50,5,★★★★☆,68.0,"9,7,1,10,8","9,4,7",2,×
1103,50,6,★★★★★,71.4,"7,8,5,3,1","8,7,9",2,×
1103,50,8,★★★★☆,67.3,"9,7,1,2,5","9,5,8",2,×
1104,35,1,★★★★★,76.6,"4,8,6,2,5","4,9,8",2,×
1104,35,2,★★★★★,71.1,"2,8,6,4,5","2,8,7",2,×
1104,35,3,★★★★☆,66.1,"3,2,6,1,10","2,3,9",2,×
1104,35,4,★★★★☆,65.2,"2,10,8,6,9","10,8,6",3,○
1104,35,5,★★★★☆,66.9,"10,11,9,7,2","9,12,6",1,×
1104,35,6,★★★★★,80.2,"3,8,4,12,7","3,8,1",2,×
1104,35,7,★★★★☆,66.7,"3,5,7,1,6","9,5,3",2,×
1104,35,8,★★★★★,72.1,"7,8,2,10,3","2,8,7",3,○
1104,35,9,★★★★☆,67.1,"9,3,7,1,4","9,1,8",2,×
1104,35,10,★★★★★,75.0,"4,8,1,9,5","4,9,3",2,×
1104,35,11,★★★★★,72.7,"5,2,10,9,4","9,10,5",3,○
1104,43,1,★★★★☆,68.5,"5,8,4,6,1","5,1,8",3,○
1104,43,2,★★★★☆,67.0,"6,3,1,2,7","1,6,3",3,○
1104,43,3,★★★★★,75.0,"8,1,2,6,3","8,2,1",3,○
1104,43,4,★★★★★,72.3,"9,8,12,6,4","8,9,12",3,○
1104,43,5,★★★★★,71.5,"9,5,10,11,1","9,5,4",2,×
1104,43,6,★★★★☆,67.6,"1,5,12,7,6","4,10,5",1,×
1104,43,7,★★★★☆,66.4,"8,3,9,1,7","7,9,3",3,○
1104,43,8,★★★★★,74.1,"6,9,10,8,3","8,6,4",2,×
1104,43,9,★★★★★,71.6,"5,8,10,3,7","5,1,2",1,×
1104,43,10,★★★★☆,67.9,"13,4,5,12,3","4,13,5",3,○
1104,43,12,★★★★☆,69.6,"5,3,8,2,11","5,3,7",2,×
1104,46,3,★★★★☆,68.0,"4,6,7,2,3","7,6,4",3,○
1104,46,5,★★★★☆,66.9,"8,3,5,6,2","5,8,3",3,○
1104,46,6,★★★★☆,69.0,"7,6,10,9,1","7,6,10",3,○
1104,46,9,★★★★☆,70.0,"5,6,9,10,1","5,10,2",2,×
1104,47,1,★★★★☆,65.8,"1,5,4,9,6","9,5,6",3,○
1104,47,2,★★★★★,71.8,"2,7,1,6,3","2,1,7",3,○
1104,47,3,★★★★★,74.5,"2,6,8,1,12","2,1,6",3,○
1104,47,4,★★★★☆,65.3,"7,2,8,5,4","7,2,8",3,○
1104,47,6,★★★★☆,69.5,"5,7,1,6,4","7,5,8",2,×
1104,47,7,★★★★★,76.3,"2,6,4,9,10","10,6,2",3,○
1104,47,8,★★★★☆,67.6,"5,9,3,1,7","6,9,3",2,×
1104,47,9,★★★★★,72.2,"12,5,11,6,8","12,8,2",2,×
1104,47,11,★★★★☆,67.7,"7,1,8,6,10","5,7,1",2,×
1104,47,12,★★★★★,75.3,"8,10,9,3,1","4,7,5",0,×
1104,50,1,★★★★☆,67.7,"1,2,8,4,10","7,6,1",1,×
1104,50,3,★★★★★,70.3,"3,5,9,8,4","3,10,8",2,×
1104,50,4,★★★★★,74.4,"1,10,2,7,4","2,5,1",2,×
1104,50,5,★★★★☆,67.6,"6,3,2,11,9","6,8,11",2,×
1104,50,6,★★★★☆,68.4,"8,5,4,6,3","8,5,3",3,○
1104,50,7,★★★★★,71.2,"1,2,6,5,3","7,1,5",2,×
1104,50,8,★★★★★,73.1,"10,8,6,1,4","10,8,4",3,○
1104,50,9,★★★★★,80.2,"3,2,11,8,7","3,8,2",3,○
1104,50,10,★★★★★,71.3,"2,4,1,6,3","2,4,6",3,○
1104,50,11,★★★★☆,66.0,"6,2,10,11,1","7,6,10",2,×
1104,50,12,★★★★★,74.5,"11,5,8,6,2","6,3,11",2,×
1105,30,1,★★★★☆,67.9,"4,9,10,8,1","9,4,8",3,○
1105,30,2,★★★★☆,67.2,"9,7,4,3,12","9,4,7",3,○
1105,30,3,★★★★★,74.3,"6,9,1,11,7","6,7,3",2,×
1105,30,4,★★★★★,70.7,"4,6,1,7,8","6,4,1",3,○
1105,30,5,★★★★☆,67.7,"3,6,9,8,5","6,8,9",3,○
