kaisai_tsukihi,keibajo_code,race_bango,top3_hit_count,top5_hit_count,top3_predicted,top3_actual,top5_predicted,top5_actual
1102,54,10,1,3,"5,2,10","8,5,4","5,2,10,11,1","8,5,4,2,1"
1102,54,11,1,3,"9,2,5","9,6,7","9,2,5,3,6","9,6,7,5,1"
1102,54,12,2,3,"10,4,6","12,4,10","10,4,6,8,2","12,4,10,6,3"
1102,55,1,2,2,"7,9,10","7,9,6","7,9,10,8,11","7,9,6,4,3"
1102,55,2,2,2,"10,12,4","10,4,2","10,12,4,7,11","10,4,2,9,3"
1102,55,3,1,5,"9,2,5","10,2,4","9,2,5,10,4","10,2,4,9,5"
1102,55,4,2,4,"6,11,7","11,12,6","6,11,7,9,1","11,12,6,1,7"
1102,55,5,1,2,"8,9,10","4,9,6","8,9,10,4,2","4,9,6,11,3"
1102,55,6,2,5,"4,7,2","2,8,4","4,7,2,8,6","2,8,4,6,7"
1102,55,7,2,4,"6,11,10","11,6,8","6,11,10,9,1","11,6,8,1,10"
1102,55,8,1,3,"12,6,4","4,9,5","12,6,4,7,5","4,9,5,6,1"
1102,55,9,2,4,"2,7,5","7,4,5","2,7,5,4,3","7,4,5,2,1"
1102,55,10,2,3,"9,5,1","1,9,11","9,5,1,6,8","1,9,11,3,5"
1102,55,11,1,3,"1,10,5","5,4,6","1,10,5,7,4","5,4,6,9,1"
1103,30,1,1,3,"5,2,4","1,5,9","5,2,4,3,7","1,5,9,4,7"
1103,30,2,2,4,"6,5,10","6,10,8","6,5,10,11,9","6,10,8,11,5"
1103,30,3,1,4,"8,6,10","8,9,7","8,6,10,3,9","8,9,7,6,3"
1103,30,4,2,5,"6,10,4","10,4,3","6,10,4,3,5","10,4,3,6,5"
1103,30,5,2,4,"2,7,6","7,3,6","2,7,6,5,3","7,3,6,8,5"
1103,30,6,2,4,"7,6,3","7,5,6","7,6,3,2,1","7,5,6,3,2"
1103,30,7,3,3,"1,2,6","1,6,2","1,2,6,5,8","1,6,2,7,3"
1103,30,8,3,3,"7,3,10","3,10,7","7,3,10,4,9","3,10,7,12,8"
1103,30,9,2,3,"4,3,9","4,8,3","4,3,9,1,8","4,8,3,5,2"
1103,30,10,2,3,"6,7,9","6,3,7","6,7,9,3,10","6,3,7,2,8"
1103,30,11,1,5,"4,10,1","4,5,2","4,10,1,2,5","4,5,2,1,10"
1103,30,12,2,4,"13,12,5","5,14,12","13,12,5,1,14","5,14,12,13,11"
1103,43,1,2,3,"8,2,4","4,2,5","8,2,4,9,1","4,2,5,8,6"
1103,43,2,1,3,"9,5,2","6,9,12","9,5,2,6,4","6,9,12,4,1"
1103,43,3,2,2,"6,4,11","6,4,5","6,4,11,3,12","6,4,5,10,2"
1103,43,4,1,4,"8,7,10","7,4,12","8,7,10,12,4","7,4,12,3,8"
1103,43,5,3,4,"13,12,1","1,12,13","13,12,1,5,14","1,12,13,5,11"
1103,43,6,0,2,"12,8,2","11,6,9","12,8,2,6,3","11,6,9,1,2"
1103,43,7,3,5,"6,8,11","6,8,11","6,8,11,9,12","6,8,11,9,12"
1103,43,8,0,1,"11,3,6","5,10,4","11,3,6,2,7","5,10,4,11,13"
1103,43,9,3,4,"9,2,5","5,2,9","9,2,5,6,14","5,2,9,12,14"
1103,43,10,3,3,"3,13,1","3,13,1","3,13,1,10,6","3,13,1,11,9"
1103,43,11,2,4,"13,5,7","13,2,5","13,5,7,9,12","13,2,5,12,9"
1103,43,12,3,4,"5,1,10","5,1,10","5,1,10,3,7","5,1,10,7,9"
1103,50,1,1,2,"6,7,4","2,5,6","6,7,4,8,9","2,5,6,1,8"
1103,50,2,1,5,"5,3,6","5,1,2","5,3,6,2,1","5,1,2,6,3"
1103,50,3,2,4,"4,5,3","4,3,6","4,5,3,6,1","4,3,6,8,1"
1103,50,4,1,2,"4,8,2","9,8,5","4,8,2,9,7","9,8,5,6,10"
1103,50,5,1,3,"9,6,8","9,4,7","9,6,8,7,2","9,4,7,6,10"
1103,50,6,1,2,"1,7,2","8,7,9","1,7,2,11,8","8,7,9,4,5"
1103,50,7,1,3,"12,6,7","12,11,5","12,6,7,3,2","12,11,5,7,6"
1103,50,8,1,3,"9,2,3","9,5,8","9,2,3,7,1","9,5,8,7,2"
1104,35,1,2,4,"4,8,6","4,9,8","4,8,6,3,9","4,9,8,3,2"
1104,35,2,2,4,"2,8,6","2,8,7","2,8,6,7,4","2,8,7,4,5"
1104,35,3,2,2,"3,2,8","2,3,9","3,2,8,10,6","2,3,9,4,1"
1104,35,4,2,5,"10,6,9","10,8,6","10,6,9,2,8","10,8,6,2,9"
1104,35,5,1,3,"11,10,6","9,12,6","11,10,6,12,7","9,12,6,3,7"
1104,35,6,2,3,"3,7,1","3,8,1","3,7,1,4,10","3,8,1,7,5"
1104,35,7,1,4,"1,7,5","9,5,3","1,7,5,9,2","9,5,3,1,7"
1104,35,8,3,3,"7,2,8","2,8,7","7,2,8,6,3","2,8,7,10,5"
1104,35,9,1,4,"9,3,7","9,1,8","9,3,7,1,4","9,1,8,7,3"
1104,35,10,1,2,"4,8,5","4,9,3","4,8,5,1,7","4,9,3,2,5"
1104,35,11,1,2,"5,2,7","9,10,5","5,2,7,3,1","9,10,5,8,3"
1104,35,12,1,2,"3,12,4","1,11,12","3,12,4,6,1","1,11,12,8,2"
1104,43,1,3,3,"8,5,1","5,1,8","8,5,1,6,7","5,1,8,3,4"
1104,43,2,2,3,"3,7,6","1,6,3","3,7,6,1,5","1,6,3,2,8"
1104,43,3,2,3,"8,6,1","8,2,1","8,6,1,2,11","8,2,1,10,4"
1104,43,4,2,2,"9,3,8","8,9,12","9,3,8,2,4","8,9,12,5,6"
1104,43,5,3,4,"9,5,4","9,5,4","9,5,4,10,11","9,5,4,10,1"
1104,43,6,2,4,"1,4,5","4,10,5","1,4,5,11,12","4,10,5,11,12"
1104,43,7,0,1,"8,6,12","7,9,3","8,6,12,1,5","7,9,3,10,6"
1104,43,8,1,4,"6,9,10","8,6,4","6,9,10,8,11","8,6,4,11,10"
1104,43,9,2,4,"1,5,8","5,1,2","1,5,8,3,7","5,1,2,7,3"
1104,43,10,2,4,"13,4,12","4,13,5","13,4,12,5,6","4,13,5,3,6"
1104,43,11,1,2,"13,4,1","1,10,11","13,4,1,10,9","1,10,11,7,3"
1104,43,12,2,3,"5,11,3","5,3,7","5,11,3,6,4","5,3,7,9,6"
1104,46,1,2,4,"1,8,6","6,8,5","1,8,6,7,5","6,8,5,2,1"
1104,46,2,1,3,"6,3,4","9,6,1","6,3,4,1,7","9,6,1,3,8"
1104,46,3,3,4,"4,6,7","7,6,4","4,6,7,2,3","7,6,4,2,1"
1104,46,4,2,5,"1,2,4","4,1,3","1,2,4,6,3","4,1,3,2,6"
1104,46,5,2,5,"8,6,5","5,8,3","8,6,5,3,2","5,8,3,2,6"
1104,46,6,3,4,"7,6,10","7,6,10","7,6,10,9,3","7,6,10,1,9"
1104,46,7,2,4,"6,4,3","3,4,1","6,4,3,1,7","3,4,1,6,8"
1104,46,8,2,4,"9,6,8","3,6,8","9,6,8,3,1","3,6,8,7,1"
1104,46,9,1,3,"8,5,6","5,10,2","8,5,6,9,4","5,10,2,8,4"
1104,46,10,2,3,"5,4,1","6,1,4","5,4,1,2,7","6,1,4,7,9"
1104,47,1,2,3,"6,4,5","9,5,6","6,4,5,7,8","9,5,6,3,8"
1104,47,2,2,4,"2,7,6","2,1,7","2,7,6,4,5","2,1,7,5,4"
1104,47,3,2,3,"9,2,1","2,1,6","9,2,1,6,10","2,1,6,11,8"
1104,47,4,3,4,"8,7,2","7,2,8","8,7,2,9,4","7,2,8,6,9"
1104,47,5,2,5,"5,2,10","5,7,2","5,2,10,8,7","5,7,2,8,10"
1104,47,6,2,3,"1,7,5","7,5,8","1,7,5,9,6","7,5,8,4,9"
1104,47,7,2,3,"2,6,4","10,6,2","2,6,4,5,10","10,6,2,9,8"
1104,47,8,1,2,"5,9,10","6,9,3","5,9,10,2,1","6,9,3,5,7"
1104,47,9,1,3,"7,10,8","12,8,2","7,10,8,12,5","12,8,2,7,1"
1104,47,10,1,3,"8,6,2","2,4,5","8,6,2,4,1","2,4,5,8,3"
1104,47,11,2,3,"7,1,6","5,7,1","7,1,6,5,10","5,7,1,2,8"
1104,47,12,0,2,"3,10,8","4,7,5","3,10,8,7,9","4,7,5,10,1"
1104,50,1,1,2,"4,1,2","7,6,1","4,1,2,5,8","7,6,1,10,4"
1104,50,2,1,4,"6,1,2","4,6,5","6,1,2,4,3","4,6,5,2,1"
1104,50,3,2,2,"8,3,1","3,10,8","8,3,1,7,6","3,10,8,9,4"
1104,50,4,1,3,"10,1,7","2,5,1","10,1,7,2,4","2,5,1,10,9"
1104,50,5,1,2,"6,3,7","6,8,11","6,3,7,11,5","6,8,11,9,2"
1104,50,6,2,4,"5,8,4","8,5,3","5,8,4,2,7","8,5,3,7,4"
1104,50,7,2,3,"6,1,7","7,1,5","6,1,7,8,2","7,1,5,2,9"
1104,50,8,2,3,"10,5,4","10,8,4","10,5,4,9,8","10,8,4,7,3"
1104,50,9,1,2,"3,4,1","3,8,2","3,4,1,8,11","3,8,2,5,10"
1104,50,10,2,4,"2,1,4","2,4,6","2,1,4,3,6","2,4,6,3,5"
1104,50,11,1,3,"2,10,11","7,6,10","2,10,11,6,5","7,6,10,3,11"
1104,50,12,1,3,"11,5,10","6,3,11","11,5,10,1,3","6,3,11,8,5"
