date,race_id,pred_top3,pred_top5,actual_top3,actual_top5,pred_pwin_top5
20250102,2025_0102_45_04,1|9|3,1|9|3|7|5,7|1,7|1|5|9,0.210108|0.120062|0.084043|0.084043|0.064649
20250102,2025_0102_45_05,10|5|1,10|5|1|2|9,10|5,10|5|1|2,0.296188|0.155888|0.066881|0.066642|0.057327
20250102,2025_0102_45_06,10|6|2,10|6|2|8|3,2|8,2|8|3|10,0.146745|0.110059|0.092681|0.090305|0.077234
20250102,2025_0102_45_07,10|1|7,10|1|7|13|8,13|1|7|8,13|1|7|8|10,0.170020|0.136016|0.088158|0.085010|0.082712
20250102,2025_0102_45_08,1|4|8,1|4|8|10|5,10|8|1,10|8|1|5,0.240107|0.160071|0.142286|0.090297|0.080036
20250102,2025_0102_45_09,1|9|6,1|9|6|4|8,8|9,8|9|1|6,0.228804|0.141811|0.135686|0.097242|0.092611
20250102,2025_0102_45_10,5|12|11,5|12|11|10|7,5|7|10,5|7|10,0.199147|0.115906|0.111766|0.101496|0.097795
20250102,2025_0102_45_11,8|5|13,8|5|13|2|14,,13,0.267614|0.107046|0.085636|0.069381|0.066903
20250102,2025_0102_45_12,12|9|4,12|9|4|14|7,4|7,4|7|14,0.265364|0.084434|0.078892|0.068237|0.066341
20250102,2025_0102_48_01,3|2|10,3|2|10|5|8,2|3|5,2|3|5|8,0.170798|0.097385|0.097202|0.094888|0.088794
20250102,2025_0102_48_02,5|6|1,5|6|1|11|2,5|6|11,5|6|11|1,0.254872|0.101949|0.087385|0.083413|0.078422
20250102,2025_0102_48_03,3|8|5,3|8|5|6|11,5|3,5|3|11,0.144930|0.118015|0.116823|0.100134|0.085551
20250102,2025_0102_48_04,5|3|1,5|3|1|6|2,3|1|6,3|1|6|5,0.372034|0.093009|0.089288|0.074407|0.070864
20250102,2025_0102_48_05,6|3|4,6|3|4|8|5,5|6,5|6|8,0.150862|0.101898|0.099877|0.093440|0.092194
20250102,2025_0102_48_06,2|4|3,2|4|3|5|9,2|4,2|4|9|5,0.343226|0.092957|0.090854|0.071236|0.067798
20250102,2025_0102_48_07,7|11|9,7|11|9|5|3,7|11,7|11,0.345618|0.108005|0.070695|0.061249|0.060635
20250102,2025_0102_48_08,10|2|9,10|2|9|12|11,2|11,2|11|9,0.116814|0.111251|0.106194|0.103835|0.090662
20250102,2025_0102_48_09,2|7|5,2|7|5|1|6,2|5,2|5|1,0.167836|0.147696|0.098464|0.083209|0.079123
20250102,2025_0102_48_10,6|8|1,6|8|1|4|3,6|1,6|1|3,0.329274|0.156797|0.099506|0.089598|0.088198
20250102,2025_0102_48_11,2|7|8,2|7|8|9|1,2|7,2|7|9,0.261731|0.149560|0.112170|0.080122|0.072202
20250102,2025_0102_48_12,5|6|10,5|6|10|9|2,5|6|2,5|6|2,0.109868|0.107313|0.104636|0.101416|0.095357
20250102,2025_0102_50_01,2|11|8,2|11|8|6|3,2|11,2|11|6,0.364437|0.099392|0.064900|0.062297|0.057543
20250102,2025_0102_50_02,4|5|7,4|5|7|8|12,8,8|4,0.157036|0.157036|0.157036|0.157036|0.157036
20250102,2025_0102_50_03,1|10|7,1|10|7|11|12,7|10,7|10|12|11,0.149150|0.105283|0.099434|0.089490|0.089490
20250102,2025_0102_50_04,9|11|3,9|11|3|7|8,3|9,3|9|7|8,0.108185|0.103267|0.100653|0.090875|0.089595
20250102,2025_0102_50_05,7|4|2,7|4|2|5|12,4,4,0.113652|0.106398|0.093538|0.087133|0.085726
20250102,2025_0102_50_06,2|12|6,2|12|6|7|10,6|7|2,6|7|2|12,0.110409|0.098276|0.095546|0.095546|0.091373
20250102,2025_0102_50_07,2|4|12,2|4|12|3|7,3|2,3|2|12,0.241633|0.241633|0.080544|0.066835|0.064435
20250102,2025_0102_50_08,4|11|9,4|11|9|3|12,11|4,11|4|12,0.186318|0.149054|0.090336|0.083295|0.079851
20250102,2025_0102_50_09,1|8|7,1|8|7|4|5,4|7|1,4|7|1|5|8,0.404312|0.158837|0.095132|0.090970|0.072199
20250102,2025_0102_50_10,2|6|4,2|6|4|8|1,1|6,1|6|2,0.299645|0.108962|0.079318|0.070750|0.069149
20250102,2025_0102_50_11,12|3|11,12|3|11|10|9,10|12,10|12|3|11,0.135433|0.100321|0.098497|0.094214|0.083344
20250102,2025_0102_50_12,4|1|7,4|1|7|8|5,4|1|8,4|1|8|5,0.194772|0.178541|0.151489|0.089271|0.079352
20250103,2025_0103_45_01,11|9|12,11|9|12|1|2,,2|9,0.106913|0.085530|0.085530|0.081457|0.080184
20250103,2025_0103_45_02,8|12|10,8|12|10|7|6,10|8|6,10|8|6|12,0.117956|0.110899|0.108126|0.091054|0.090524
20250103,2025_0103_45_03,6|7|5,6|7|5|11|13,6,6|7,0.156935|0.156935|0.104623|0.067258|0.066078
20250103,2025_0103_45_04,7|8|1,7|8|1|12|6,7|6,7|6|1,0.150899|0.121258|0.110864|0.097006|0.088188
20250103,2025_0103_45_05,3|7|1,3|7|1|10|6,3|1|10,3|1|10|7,0.158912|0.140512|0.114417|0.104882|0.090329
20250103,2025_0103_45_06,3|6|9,3|6|9|11|12,3|12|6,3|12|6|9,0.336234|0.149437|0.064045|0.062813|0.060350
20250103,2025_0103_45_07,11|13|5,11|13|5|14|4,13|4,13|4,0.220390|0.220390|0.110195|0.080142|0.064821
20250103,2025_0103_45_08,5|10|6,5|10|6|2|3,10|5,10|5|6|3,0.161721|0.154020|0.110894|0.099221|0.092412
20250103,2025_0103_45_09,1|2|5,1|2|5|14|12,2|14,2|14|5,0.099860|0.087057|0.078352|0.075338|0.075132
20250103,2025_0103_45_10,6|3|4,6|3|4|2|5,3|2|6,3|2|6,0.149476|0.119419|0.118902|0.103257|0.098094
20250103,2025_0103_45_11,8|4|12,8|4|12|9|2,4,4|8,0.253687|0.181205|0.084562|0.080112|0.069983
20250103,2025_0103_45_12,13|10|1,13|10|1|6|11,13|6|10,13|6|10,0.171225|0.142688|0.128419|0.070852|0.070047
20250103,2025_0103_48_01,2|1|10,2|1|10|9|5,2|5,2|5|10,0.301401|0.150701|0.075350|0.069554|0.062359
20250103,2025_0103_48_02,10|8|2,10|8|2|4|6,6|8,6|8|10,0.120794|0.110530|0.105455|0.102120|0.100662
20250103,2025_0103_48_03,4|9|3,4|9|3|8|1,8|9|4,8|9|4|3,0.181470|0.125633|0.113791|0.109929|0.096073
20250103,2025_0103_48_04,6|11|3,6|11|3|1|9,6,6|1|9,0.221063|0.141480|0.082430|0.079278|0.079187
20250103,2025_0103_48_05,11|8|9,11|8|9|5|2,11|8,11|8|5,0.230636|0.094390|0.085477|0.085057|0.081203
20250103,2025_0103_48_06,4|9|3,4|9|3|11|1,4|1|3,4|1|3,0.123964|0.120423|0.116270|0.115700|0.094833
20250103,2025_0103_48_07,1|10|6,1|10|6|5|2,10,10|6|5,0.153094|0.135457|0.104979|0.100941|0.081322
20250103,2025_0103_48_08,9|1|8,9|1|8|7|11,7|8|1,7|8|1,0.138553|0.115236|0.115048|0.107379|0.099119
20250103,2025_0103_48_09,2|11|4,2|11|4|8|6,4|2,4|2,0.150464|0.101503|0.100765|0.099015|0.088743
20250103,2025_0103_48_10,1|2|4,1|2|4|6|7,1|7,1|7|2,0.161722|0.151423|0.143753|0.123217|0.123217
20250103,2025_0103_48_11,10|11|3,10|11|3|1|7,1|10|3,1|10|3,0.149882|0.120441|0.106495|0.105386|0.098360
20250103,2025_0103_48_12,5|6|7,5|6|7|4|8,5|6|7,5|6|7|4,0.348875|0.126864|0.091508|0.090449|0.079290
20250103,2025_0103_50_01,11|1|8,11|1|8|12|5,12|5,12|5|11,0.135535|0.102930|0.100624|0.092042|0.081533
20250103,2025_0103_50_02,9|7|5,9|7|5|1|3,1|9,1|9|7|5,0.222365|0.125080|0.108317|0.100064|0.093810
20250103,2025_0103_50_03,1|4|2,1|4|2|7|8,7|4,7|4|1,0.160731|0.101927|0.092867|0.082859|0.077221
20250103,2025_0103_50_04,7|6|1,7|6|1|12|9,1,1|6,0.246096|0.086014|0.084376|0.079102|0.077715
20250103,2025_0103_50_05,9|5|4,9|5|4|3|1,9,9|1,0.305967|0.101989|0.080822|0.067551|0.066930
20250103,2025_0103_50_06,1|7|4,1|7|4|5|8,7|1,7|1|5,0.145795|0.103272|0.093061|0.087477|0.084655
20250103,2025_0103_50_07,11|8|4,11|8|4|3|6,8|11|3,8|11|3|6,0.278475|0.099455|0.077354|0.075948|0.074713
20250103,2025_0103_50_08,7|6|10,7|6|10|11|5,7|10,7|10|11,0.120310|0.099487|0.097980|0.097304|0.095117
20250103,2025_0103_50_09,12|9|7,12|9|7|2|6,2,2|9|7,0.147086|0.101605|0.099639|0.096525|0.096525
20250103,2025_0103_50_10,7|9|10,7|9|10|6|8,7|10|9,7|10|9|8,0.216959|0.216959|0.216959|0.088391|0.066757
20250103,2025_0103_50_11,3|9|4,3|9|4|6|5,6|4,6|4,0.199948|0.144605|0.134965|0.112471|0.107581
20250103,2025_0103_50_12,12|8|1,12|8|1|4|10,12,12|1|4,0.130436|0.114572|0.100335|0.100335|0.096345
20250104,2025_0104_45_01,1|2|3,1|2|3|4|5,2|1,2|1|3,0.090909|0.090909|0.090909|0.090909|0.090909
20250104,2025_0104_45_02,6|8|11,6|8|11|5|7,5|7|11,5|7|11|6,0.104932|0.104932|0.095393|0.092587|0.087444
20250104,2025_0104_45_03,7|10|2,7|10|2|5|1,2|7,2|7|5,0.177145|0.126532|0.118097|0.088573|0.078152
20250104,2025_0104_45_04,11|1|9,11|1|9|12|2,9|2,9|2|1,0.157544|0.108030|0.090025|0.087932|0.078772
20250104,2025_0104_45_05,2|4|11,2|4|11|8|10,2|8|11,2|8|11|4,0.370034|0.111010|0.077902|0.065006|0.059206
20250104,2025_0104_45_06,12|7|11,12|7|11|4|6,7|4|6,7|4|6|12,0.221938|0.166453|0.104033|0.067710|0.062420
20250104,2025_0104_45_07,2|7|9,2|7|9|14|12,2|14|12,2|14|12,0.120591|0.120591|0.103364|0.093793|0.072355
20250104,2025_0104_45_08,7|9|2,7|9|2|6|4,6|4|2,6|4|2,0.215469|0.215469|0.129281|0.107735|0.082873
20250104,2025_0104_45_09,8|7|12,8|7|12|11|5,8|5,8|5,0.226084|0.113042|0.087922|0.083784|0.076732
20250104,2025_0104_45_10,3|11|8,3|11|8|2|14,3,3|11,0.230408|0.156450|0.087396|0.073464|0.073010
20250104,2025_0104_45_11,7|3|1,7|3|1|2|11,3|2,3|2,0.270146|0.127128|0.103902|0.094551|0.083122
