kaisai_tsukihi,race_count,top3_ge1,top5_ge3,top3_ge1_rate,top5_ge3_rate
102,48,24,12,0.5,0.25
103,48,28,14,0.5833333333333334,0.2916666666666667
104,45,31,16,0.6888888888888889,0.35555555555555557
105,23,15,6,0.6521739130434783,0.2608695652173913
106,23,13,10,0.5652173913043478,0.43478260869565216
107,34,22,23,0.6470588235294118,0.6764705882352942
108,46,37,27,0.8043478260869565,0.5869565217391305
109,35,26,18,0.7428571428571429,0.5142857142857142
110,34,29,15,0.8529411764705882,0.4411764705882353
111,21,14,9,0.6666666666666666,0.42857142857142855
112,23,17,11,0.7391304347826086,0.4782608695652174
113,46,31,18,0.6739130434782609,0.391304347826087
114,36,23,10,0.6388888888888888,0.2777777777777778
115,36,26,17,0.7222222222222222,0.4722222222222222
116,24,14,6,0.5833333333333334,0.25
117,22,13,8,0.5909090909090909,0.36363636363636365
118,32,21,13,0.65625,0.40625
119,36,25,12,0.6944444444444444,0.3333333333333333
120,45,26,13,0.5777777777777777,0.28888888888888886
121,43,24,18,0.5581395348837209,0.4186046511627907
122,35,23,16,0.6571428571428571,0.45714285714285713
123,24,19,11,0.7916666666666666,0.4583333333333333
124,24,11,8,0.4583333333333333,0.3333333333333333
125,35,22,22,0.6285714285714286,0.6285714285714286
126,47,29,19,0.6170212765957447,0.40425531914893614
127,46,32,13,0.6956521739130435,0.2826086956521739
128,36,26,20,0.7222222222222222,0.5555555555555556
129,48,33,23,0.6875,0.4791666666666667
130,24,14,8,0.5833333333333334,0.3333333333333333
